energy_MeV,niel_MeV_cm2_g
0.0001,9.7859
0.00015,10.107
0.0002,10.095
0.00025,9.9636
0.0003,9.7854
0.00035,9.5893
0.0004,9.3888
0.00045,9.1903
0.0005,8.9972
0.00055,8.8109
0.0006,8.6322
0.00065,8.4611
0.0007,8.2975
0.00075,8.1413
0.0008,7.992
0.00085,7.8493
0.0009,7.7128
0.00095,7.5822
0.001,7.4571
0.0015,6.4452
0.002,5.7277
0.0025,5.1864
0.003,4.7598
0.0035,4.4125
0.004,4.1228
0.0045,3.8764
0.005,3.6635
0.0055,3.4774
0.006,3.3127
0.0065,3.1659
0.007,3.0338
0.0075,2.9143
0.008,2.8055
0.0085,2.7059
0.009,2.6143
0.0095,2.5298
0.01,2.4514
0.015,1.8938
0.02,1.5621
0.025,1.3386
0.03,1.1762
0.035,1.052
0.04,0.95369
0.045,0.8736
0.05,0.80688
0.055,0.75009
0.06,0.70146
0.065,0.65934
0.07,0.62246
0.075,0.58986
0.08,0.56082
0.085,0.53477
0.09,0.51125
0.095,0.48991
0.1,0.47043
0.15,0.34022
0.2,0.26671
0.25,0.22014
0.3,0.18804
0.35,0.16481
0.4,0.14701
0.45,0.13291
0.5,0.12144
0.55,0.11192
0.6,0.10388
0.65,0.096999
0.7,0.091032
0.75,0.085808
0.8,0.081193
0.85,0.077085
0.9,0.073195
0.95,0.069624
1.0,0.066392
1.5,0.04551
2.0,0.03475
2.5,0.028167
3.0,0.023716
3.5,0.020514
4.0,0.018259
4.5,0.016483
5.0,0.014975
5.5,0.013735
6.0,0.012733
6.5,0.011912
7.0,0.011221
7.5,0.010623
8.0,0.010095
8.5,0.009623
9.0,0.0091963
9.5,0.0088085
10.0,0.0084549
15.0,0.00622
20.0,0.0052424
25.0,0.0047325
30.0,0.0043948
35.0,0.0041242
40.0,0.0038905
45.0,0.0036873
50.0,0.0035126
55.0,0.0033645
60.0,0.0032398
65.0,0.0031354
70.0,0.0030478
75.0,0.0029741
80.0,0.0029117
85.0,0.0028583
90.0,0.0028123
95.0,0.0027719
100.0,0.0027361
150.0,0.0024922
200.0,0.0023329
250.0,0.0022473
300.0,0.0022305
350.0,0.0022633
400.0,0.0023244
450.0,0.0023967
500.0,0.0024689
550.0,0.0025348
600.0,0.0025925
650.0,0.0026425
700.0,0.0026863
750.0,0.0027254
800.0,0.0027598
850.0,0.0027884
900.0,0.002808
950.0,0.0028137
1000.0,0.0027993
