energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,1.8572e-06
0.2,2.7087e-06
0.25,3.9727e-06
0.3,5.3452e-06
0.35,6.4653e-06
0.4,7.4262e-06
0.45,8.2785e-06
0.5,9.0517e-06
0.55,9.7641e-06
0.6,1.0428e-05
0.65,1.1052e-05
0.7,1.1641e-05
0.75,1.2201e-05
0.8,1.2734e-05
0.85,1.3303e-05
0.9,1.3884e-05
0.95,1.4463e-05
1.0,1.5039e-05
1.5,2.0325e-05
2.0,2.5334e-05
2.5,3.1199e-05
3.0,3.6582e-05
3.5,4.1266e-05
4.0,4.5322e-05
4.5,4.8861e-05
5.0,5.1978e-05
5.5,5.475e-05
6.0,5.7237e-05
6.5,5.9487e-05
7.0,6.1536e-05
7.5,6.3413e-05
8.0,6.5142e-05
8.5,6.6742e-05
9.0,6.8229e-05
9.5,6.9615e-05
10.0,7.0912e-05
15.0,8.0461e-05
20.0,8.6322e-05
25.0,9.0182e-05
30.0,9.2792e-05
35.0,9.4566e-05
40.0,9.5761e-05
45.0,9.6548e-05
50.0,9.7044e-05
55.0,9.7334e-05
60.0,9.7477e-05
65.0,9.7518e-05
70.0,9.7487e-05
75.0,9.7406e-05
80.0,9.7293e-05
85.0,9.7158e-05
90.0,9.701e-05
95.0,9.6856e-05
100.0,9.6698e-05
