energy_MeV,niel_MeV_cm2_g
0.0001,0.24935
0.00015,0.44908
0.0002,0.68041
0.00025,0.83995
0.0003,0.95647
0.00035,1.0448
0.0004,1.1134
0.00045,1.1677
0.0005,1.2113
0.00055,1.2465
0.0006,1.2751
0.00065,1.2985
0.0007,1.3176
0.00075,1.3332
0.0008,1.3458
0.00085,1.3683
0.0009,1.3881
0.00095,1.4052
0.001,1.4198
0.0015,1.4853
0.002,1.4808
0.0025,1.4515
0.003,1.4384
0.0035,1.4175
0.004,1.3916
0.0045,1.3634
0.005,1.3344
0.0055,1.3054
0.006,1.2769
0.0065,1.2492
0.007,1.2224
0.0075,1.1965
0.008,1.1717
0.0085,1.1478
0.009,1.1249
0.0095,1.103
0.01,1.0819
0.015,0.91158
0.02,0.79219
0.025,0.70356
0.03,0.63482
0.035,0.57974
0.04,0.53446
0.045,0.49649
0.05,0.46411
0.055,0.43614
0.06,0.41169
0.065,0.39011
0.07,0.37091
0.075,0.35369
0.08,0.33816
0.085,0.32407
0.09,0.31121
0.095,0.29943
0.1,0.2886
0.15,0.21397
0.2,0.17184
0.25,0.14446
0.3,0.12518
0.35,0.11076
0.4,0.099383
0.45,0.090289
0.5,0.082841
0.55,0.07662
0.6,0.071339
0.65,0.066778
0.7,0.062807
0.75,0.059282
0.8,0.056078
0.85,0.053224
0.9,0.050639
0.95,0.0483
1.0,0.046179
1.5,0.032342
2.0,0.025061
2.5,0.020497
3.0,0.017385
3.5,0.015145
4.0,0.013461
4.5,0.012148
5.0,0.011102
5.5,0.01024
6.0,0.0095199
6.5,0.0089132
7.0,0.008395
7.5,0.0079474
8.0,0.0075573
8.5,0.0072149
9.0,0.0069124
9.5,0.0066434
10.0,0.0064025
15.0,0.0049093
20.0,0.004204
25.0,0.003802
30.0,0.0035308
35.0,0.0033239
40.0,0.0031566
45.0,0.0030188
50.0,0.0029049
55.0,0.0028107
60.0,0.0027327
65.0,0.0026677
70.0,0.0026128
75.0,0.002566
80.0,0.0025253
85.0,0.0024893
90.0,0.0024569
95.0,0.0024272
100.0,0.0023995
150.0,0.0021812
200.0,0.0020453
250.0,0.0019847
300.0,0.0019727
350.0,0.001985
400.0,0.0020075
450.0,0.0020347
500.0,0.0020653
550.0,0.0020989
600.0,0.002135
650.0,0.002172
700.0,0.0022071
750.0,0.0022368
800.0,0.0022583
850.0,0.0022696
900.0,0.0022713
950.0,0.0022665
1000.0,0.0022619
