energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,2.2217e-07
0.085,6.8959e-07
0.09,1.0889e-06
0.095,1.433e-06
0.1,1.7318e-06
0.15,6.6777e-06
0.2,9.9812e-06
0.25,1.2047e-05
0.3,1.4119e-05
0.35,1.5795e-05
0.4,1.7236e-05
0.45,1.8605e-05
0.5,2.0025e-05
0.55,2.1373e-05
0.6,2.2661e-05
0.65,2.3896e-05
0.7,2.5083e-05
0.75,2.6226e-05
0.8,2.733e-05
0.85,2.8396e-05
0.9,2.9428e-05
0.95,3.0428e-05
1.0,3.1397e-05
1.5,3.9744e-05
2.0,4.632e-05
2.5,5.1718e-05
3.0,5.6279e-05
3.5,6.0216e-05
4.0,6.367e-05
4.5,6.6741e-05
5.0,6.9499e-05
5.5,7.1998e-05
6.0,7.428e-05
6.5,7.6376e-05
7.0,7.8311e-05
7.5,8.0106e-05
8.0,8.1778e-05
8.5,8.3342e-05
9.0,8.4808e-05
9.5,8.6188e-05
10.0,8.7488e-05
15.0,9.7399e-05
20.0,0.00010386
25.0,0.00010839
30.0,0.00011171
35.0,0.0001142
40.0,0.00011611
45.0,0.00011758
50.0,0.00011872
55.0,0.00011961
60.0,0.00012032
65.0,0.00012087
70.0,0.00012131
75.0,0.00012166
80.0,0.00012194
85.0,0.00012216
90.0,0.00012234
95.0,0.00012248
100.0,0.00012259
