energy_MeV,niel_MeV_cm2_g
0.0001,1.617
0.00015,3.2171
0.0002,4.1548
0.00025,4.7543
0.0003,5.1403
0.00035,5.3988
0.0004,5.6222
0.00045,5.7768
0.0005,5.8824
0.00055,5.9521
0.0006,5.9952
0.00065,6.018
0.0007,6.0254
0.00075,6.0208
0.0008,6.007
0.00085,5.9859
0.0009,5.9591
0.00095,5.9278
0.001,5.8931
0.0015,5.4697
0.002,5.0482
0.0025,4.6786
0.003,4.3608
0.0035,4.087
0.004,3.8491
0.0045,3.6407
0.005,3.4565
0.0055,3.2925
0.006,3.1453
0.0065,3.0125
0.007,2.8919
0.0075,2.7819
0.008,2.681
0.0085,2.5881
0.009,2.5023
0.0095,2.4227
0.01,2.3486
0.015,1.8154
0.02,1.4944
0.025,1.2772
0.03,1.1194
0.035,0.99884
0.04,0.90349
0.045,0.82596
0.05,0.76156
0.055,0.70712
0.06,0.66021
0.065,0.6194
0.07,0.58373
0.075,0.55224
0.08,0.52423
0.085,0.49917
0.09,0.47659
0.095,0.45613
0.1,0.43751
0.15,0.3139
0.2,0.24638
0.25,0.20282
0.3,0.17276
0.35,0.15079
0.4,0.13399
0.45,0.12071
0.5,0.10993
0.55,0.101
0.6,0.093442
0.65,0.086924
0.7,0.081189
0.75,0.076172
0.8,0.071754
0.85,0.067831
0.9,0.064324
0.95,0.06117
1.0,0.058317
1.5,0.039906
2.0,0.030435
2.5,0.024644
3.0,0.020731
3.5,0.017931
4.0,0.01609
4.5,0.014665
5.0,0.013426
5.5,0.012402
6.0,0.01157
6.5,0.010889
7.0,0.010322
7.5,0.0098413
8.0,0.0094225
8.5,0.0090498
9.0,0.0087125
9.5,0.008404
10.0,0.0081202
15.0,0.0062684
20.0,0.0054547
25.0,0.0050206
30.0,0.0047022
35.0,0.0044222
40.0,0.0041688
45.0,0.003944
50.0,0.0037485
55.0,0.0035804
60.0,0.0034358
65.0,0.0033106
70.0,0.0032013
75.0,0.0031044
80.0,0.0030175
85.0,0.0029387
90.0,0.0028662
95.0,0.0027991
100.0,0.0027365
150.0,0.0022762
200.0,0.0020214
250.0,0.0018915
300.0,0.0018306
350.0,0.0018053
400.0,0.0017984
450.0,0.0018014
500.0,0.0018102
550.0,0.0018225
600.0,0.0018363
650.0,0.0018492
700.0,0.001859
750.0,0.0018639
800.0,0.0018629
850.0,0.0018566
900.0,0.0018477
950.0,0.0018409
1000.0,0.0018434
