energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,3.9191e-07
0.055,2.1784e-06
0.06,3.5531e-06
0.065,4.63e-06
0.07,5.4865e-06
0.075,6.1765e-06
0.08,6.7388e-06
0.085,7.2017e-06
0.09,7.586e-06
0.095,7.9078e-06
0.1,8.1791e-06
0.15,9.4867e-06
0.2,9.8995e-06
0.25,1.0278e-05
0.3,1.0914e-05
0.35,1.1451e-05
0.4,1.1935e-05
0.45,1.2389e-05
0.5,1.2823e-05
0.55,1.3241e-05
0.6,1.3646e-05
0.65,1.404e-05
0.7,1.4424e-05
0.75,1.4799e-05
0.8,1.5164e-05
0.85,1.5521e-05
0.9,1.59e-05
0.95,1.658e-05
1.0,1.7399e-05
1.5,2.7456e-05
2.0,3.6175e-05
2.5,4.3014e-05
3.0,4.8491e-05
3.5,5.3003e-05
4.0,5.6814e-05
4.5,6.0097e-05
5.0,6.297e-05
5.5,6.5518e-05
6.0,6.7801e-05
6.5,6.9864e-05
7.0,7.1742e-05
7.5,7.3461e-05
8.0,7.5045e-05
8.5,7.6509e-05
9.0,7.7868e-05
9.5,7.9134e-05
10.0,8.0316e-05
15.0,8.8925e-05
20.0,9.4014e-05
25.0,9.7178e-05
30.0,9.9153e-05
35.0,0.00010035
40.0,0.00010103
45.0,0.00010137
50.0,0.00010147
55.0,0.00010142
60.0,0.00010128
65.0,0.00010107
70.0,0.00010084
75.0,0.00010059
80.0,0.00010033
85.0,0.00010008
90.0,9.983e-05
95.0,9.9593e-05
100.0,9.9369e-05
