energy_MeV,niel_MeV_cm2_g
0.0001,2.3475
0.00015,2.8496
0.0002,3.2558
0.00025,3.5888
0.0003,3.7898
0.00035,3.9109
0.0004,3.9808
0.00045,4.0164
0.0005,4.0285
0.00055,4.024
0.0006,4.0078
0.00065,3.9832
0.0007,3.9526
0.00075,3.9176
0.0008,3.8796
0.00085,3.8395
0.0009,3.798
0.00095,3.7643
0.001,3.7357
0.0015,3.4268
0.002,3.1448
0.0025,2.9072
0.003,2.7078
0.0035,2.5389
0.004,2.394
0.0045,2.2682
0.005,2.1578
0.0055,2.0599
0.006,1.9725
0.0065,1.8939
0.007,1.8226
0.0075,1.7576
0.008,1.6982
0.0085,1.6434
0.009,1.5928
0.0095,1.5459
0.01,1.5023
0.015,1.1864
0.02,0.99348
0.025,0.86099
0.03,0.76331
0.035,0.68779
0.04,0.62736
0.045,0.57773
0.05,0.53613
0.055,0.50059
0.06,0.46996
0.065,0.44327
0.07,0.41977
0.075,0.39883
0.08,0.38005
0.085,0.36316
0.09,0.34787
0.095,0.33396
0.1,0.32124
0.15,0.2354
0.2,0.18657
0.25,0.15509
0.3,0.13303
0.35,0.1167
0.4,0.1041
0.45,0.094064
0.5,0.085867
0.55,0.079038
0.6,0.073258
0.65,0.068291
0.7,0.063987
0.75,0.060222
0.8,0.0569
0.85,0.053945
0.9,0.051298
0.95,0.048914
1.0,0.046753
1.5,0.032703
2.0,0.025292
2.5,0.02058
3.0,0.017382
3.5,0.015081
4.0,0.013505
4.5,0.012258
5.0,0.01118
5.5,0.010287
6.0,0.0095524
6.5,0.0089431
7.0,0.0084282
7.5,0.0079839
8.0,0.0075924
8.5,0.0072413
9.0,0.0069224
9.5,0.0066301
10.0,0.006361
15.0,0.0045745
20.0,0.0037166
25.0,0.0032242
30.0,0.0028777
35.0,0.0026003
40.0,0.002368
45.0,0.0021717
50.0,0.0020058
55.0,0.0018652
60.0,0.0017452
65.0,0.0016419
70.0,0.0015519
75.0,0.0014726
80.0,0.0014021
85.0,0.0013387
90.0,0.0012812
95.0,0.0012288
100.0,0.0011807
150.0,0.00085404
200.0,0.00068779
250.0,0.00059795
300.0,0.00054574
350.0,0.00051282
400.0,0.00049048
450.0,0.00047456
500.0,0.00046299
550.0,0.00045459
600.0,0.00044845
650.0,0.00044372
700.0,0.00043961
750.0,0.00043544
800.0,0.0004308
850.0,0.00042568
900.0,0.0004206
950.0,0.00041663
1000.0,0.00041552
