energy_MeV,niel_MeV_cm2_g
0.04,6.2605e-07
0.045,1.4396e-06
0.05,2.0217e-06
0.055,2.4484e-06
0.06,4.1793e-06
0.065,6.3118e-06
0.07,8.7504e-06
0.075,1.1584e-05
0.08,1.4866e-05
0.085,1.7624e-05
0.09,1.9965e-05
0.095,2.1968e-05
0.1,2.3695e-05
0.15,3.2962e-05
0.2,3.6625e-05
0.25,3.872e-05
0.3,4.0252e-05
0.35,4.1548e-05
0.4,4.2732e-05
0.45,4.3855e-05
0.5,4.4939e-05
0.55,4.5995e-05
0.6,4.7027e-05
0.65,4.8038e-05
0.7,4.9027e-05
0.75,4.9996e-05
0.8,5.0946e-05
0.85,5.1875e-05
0.9,5.2785e-05
0.95,5.3676e-05
1.0,5.4548e-05
1.5,6.2324e-05
2.0,6.8697e-05
2.5,7.4041e-05
3.0,7.8616e-05
3.5,8.26e-05
4.0,8.6119e-05
4.5,8.9263e-05
5.0,9.2099e-05
5.5,9.4678e-05
6.0,9.7039e-05
6.5,9.9214e-05
7.0,0.00010123
7.5,0.0001031
8.0,0.00010484
8.5,0.00010648
9.0,0.00010802
9.5,0.00010947
10.0,0.00011083
15.0,0.00012134
20.0,0.0001283
25.0,0.00013326
30.0,0.00013695
35.0,0.00013977
40.0,0.00014196
45.0,0.00014369
50.0,0.00014505
55.0,0.00014615
60.0,0.00014702
65.0,0.00014773
70.0,0.00014831
75.0,0.00014877
80.0,0.00014915
85.0,0.00014947
90.0,0.00014972
95.0,0.00014993
100.0,0.0001501
