energy_MeV,niel_MeV_cm2_g
0.0001,4.4206
0.00015,5.7532
0.0002,6.5055
0.00025,6.9692
0.0003,7.2664
0.00035,7.459
0.0004,7.5818
0.00045,7.6562
0.0005,7.6961
0.00055,7.7107
0.0006,7.7064
0.00065,7.6881
0.0007,7.659
0.00075,7.6218
0.0008,7.5783
0.00085,7.5301
0.0009,7.4782
0.00095,7.4237
0.001,7.3672
0.0015,6.7759
0.002,6.2343
0.0025,5.7694
0.003,5.3727
0.0035,5.032
0.004,4.7365
0.0045,4.4779
0.005,4.2495
0.0055,4.0461
0.006,3.8637
0.0065,3.6992
0.007,3.5498
0.0075,3.4136
0.008,3.2887
0.0085,3.1738
0.009,3.0676
0.0095,2.9691
0.01,2.8776
0.015,2.2194
0.02,1.824
0.025,1.5571
0.03,1.3634
0.035,1.2157
0.04,1.0989
0.045,1.0041
0.05,0.92542
0.055,0.85893
0.06,0.80199
0.065,0.75261
0.07,0.70936
0.075,0.67113
0.08,0.63711
0.085,0.60662
0.09,0.57914
0.095,0.55422
0.1,0.53152
0.15,0.38108
0.2,0.30035
0.25,0.24883
0.3,0.21297
0.35,0.18655
0.4,0.16555
0.45,0.14895
0.5,0.13547
0.55,0.12408
0.6,0.11449
0.65,0.10631
0.7,0.099246
0.75,0.093082
0.8,0.087654
0.85,0.082837
0.9,0.078532
0.95,0.074662
1.0,0.071163
1.5,0.048601
2.0,0.037012
2.5,0.029934
3.0,0.025163
3.5,0.021829
4.0,0.019573
4.5,0.017832
5.0,0.016372
5.5,0.01517
6.0,0.014182
6.5,0.013363
7.0,0.012673
7.5,0.012081
8.0,0.011565
8.5,0.011108
9.0,0.010699
9.5,0.01033
10.0,0.0099945
15.0,0.0078517
20.0,0.0068099
25.0,0.0061567
30.0,0.0056681
35.0,0.0052743
40.0,0.0049494
45.0,0.0046786
50.0,0.0044502
55.0,0.0042543
60.0,0.0040831
65.0,0.0039306
70.0,0.0037925
75.0,0.0036657
80.0,0.0035479
85.0,0.0034378
90.0,0.0033343
95.0,0.0032369
100.0,0.0031451
150.0,0.0024817
200.0,0.002146
250.0,0.0019776
300.0,0.0018851
350.0,0.0018267
400.0,0.0017854
450.0,0.0017554
500.0,0.0017347
550.0,0.0017218
600.0,0.0017146
650.0,0.0017104
700.0,0.0017063
750.0,0.0017
800.0,0.0016902
850.0,0.0016773
900.0,0.0016639
950.0,0.0016549
1000.0,0.0016576
