energy_MeV,niel_MeV_cm2_g
0.04,0.0001303
0.045,0.00013067
0.05,0.00012995
0.055,0.00012862
0.06,0.00012697
0.065,0.00012516
0.07,0.0001233
0.075,0.00012144
0.08,0.00011961
0.085,0.00011784
0.09,0.00011614
0.095,0.00011452
0.1,0.00011297
0.15,0.00010125
0.2,9.4272e-05
0.25,8.9971e-05
0.3,8.7256e-05
0.35,8.5541e-05
0.4,8.4489e-05
0.45,8.3892e-05
0.5,8.3619e-05
0.55,8.3579e-05
0.6,8.3712e-05
0.65,8.3972e-05
0.7,8.4329e-05
0.75,8.4759e-05
0.8,8.5244e-05
0.85,8.5771e-05
0.9,8.6329e-05
0.95,8.691e-05
1.0,8.7509e-05
1.5,9.3699e-05
2.0,9.9425e-05
2.5,0.00010446
3.0,0.00010887
3.5,0.00011277
4.0,0.00011625
4.5,0.00011937
5.0,0.00012221
5.5,0.00012479
6.0,0.00012717
6.5,0.00012936
7.0,0.00013139
7.5,0.00013328
8.0,0.00013505
8.5,0.00013671
9.0,0.00013827
9.5,0.00013974
10.0,0.00014113
15.0,0.00015185
20.0,0.00015897
25.0,0.00016407
30.0,0.00016787
35.0,0.00017079
40.0,0.00017306
45.0,0.00017485
50.0,0.00017628
55.0,0.00017742
60.0,0.00017834
65.0,0.00017909
70.0,0.0001797
75.0,0.0001802
80.0,0.0001806
85.0,0.00018094
90.0,0.00018122
95.0,0.00018145
100.0,0.00018164
