energy_MeV,niel_MeV_cm2_g
0.0001,8.0451
0.00015,8.9611
0.0002,9.45
0.00025,9.7242
0.0003,9.8746
0.00035,9.9477
0.0004,9.9699
0.00045,9.9574
0.0005,9.9208
0.00055,9.867
0.0006,9.801
0.00065,9.7263
0.0007,9.6454
0.00075,9.5602
0.0008,9.4721
0.00085,9.3822
0.0009,9.2913
0.00095,9.1999
0.001,9.1085
0.0015,8.2477
0.002,7.5231
0.0025,6.923
0.003,6.4211
0.0035,5.9956
0.004,5.6301
0.0045,5.3124
0.005,5.0334
0.0055,4.7861
0.006,4.5652
0.0065,4.3665
0.007,4.1867
0.0075,4.023
0.008,3.8733
0.0085,3.7358
0.009,3.6089
0.0095,3.4915
0.01,3.3825
0.015,2.6021
0.02,2.1362
0.025,1.8226
0.03,1.5955
0.035,1.4226
0.04,1.286
0.045,1.1751
0.05,1.083
0.055,1.0053
0.06,0.93877
0.065,0.88104
0.07,0.83045
0.075,0.78593
0.08,0.74648
0.085,0.71111
0.09,0.67922
0.095,0.6503
0.1,0.62394
0.15,0.45166
0.2,0.35982
0.25,0.29984
0.3,0.25757
0.35,0.22616
0.4,0.2002
0.45,0.17969
0.5,0.16307
0.55,0.14933
0.6,0.13776
0.65,0.12788
0.7,0.11935
0.75,0.11191
0.8,0.10535
0.85,0.099536
0.9,0.094338
0.95,0.089665
1.0,0.08544
1.5,0.058219
2.0,0.044255
2.5,0.035739
3.0,0.030009
3.5,0.026018
4.0,0.023304
4.5,0.021189
5.0,0.019412
5.5,0.017946
6.0,0.016742
6.5,0.015742
7.0,0.014899
7.5,0.014175
8.0,0.013543
8.5,0.012983
9.0,0.012481
9.5,0.012027
10.0,0.011613
15.0,0.0089362
20.0,0.0076107
25.0,0.0067872
30.0,0.0061832
35.0,0.0057043
40.0,0.0053132
45.0,0.0049888
50.0,0.0047158
55.0,0.0044821
60.0,0.0042783
65.0,0.0040973
70.0,0.0039339
75.0,0.0037846
80.0,0.0036468
85.0,0.0035186
90.0,0.0033988
95.0,0.0032865
100.0,0.0031812
150.0,0.0024314
200.0,0.0020545
250.0,0.0018632
300.0,0.0017567
350.0,0.0016888
400.0,0.0016403
450.0,0.0016041
500.0,0.0015777
550.0,0.0015594
600.0,0.0015473
650.0,0.001539
700.0,0.0015318
750.0,0.0015234
800.0,0.0015127
850.0,0.0014996
900.0,0.0014864
950.0,0.0014772
1000.0,0.0014785
