energy_MeV,niel_MeV_cm2_g
0.04,3.6919e-05
0.045,3.5045e-05
0.05,3.3406e-05
0.055,3.1965e-05
0.06,3.0689e-05
0.065,2.9936e-05
0.07,2.9495e-05
0.075,2.9053e-05
0.08,2.8619e-05
0.085,2.82e-05
0.09,2.7799e-05
0.095,2.7416e-05
0.1,2.7052e-05
0.15,2.4321e-05
0.2,2.2711e-05
0.25,2.1726e-05
0.3,2.1111e-05
0.35,2.0729e-05
0.4,2.05e-05
0.45,2.0376e-05
0.5,2.0326e-05
0.55,2.0328e-05
0.6,2.0369e-05
0.65,2.0439e-05
0.7,2.053e-05
0.75,2.0637e-05
0.8,2.0757e-05
0.85,2.0885e-05
0.9,2.102e-05
0.95,2.116e-05
1.0,2.1304e-05
1.5,2.2772e-05
2.0,2.4348e-05
2.5,2.9895e-05
3.0,3.644e-05
3.5,4.2337e-05
4.0,4.7389e-05
4.5,5.1691e-05
5.0,5.5379e-05
5.5,5.8571e-05
6.0,6.1364e-05
6.5,6.3831e-05
7.0,6.6029e-05
7.5,6.8003e-05
8.0,6.9787e-05
8.5,7.141e-05
9.0,7.2893e-05
9.5,7.4254e-05
10.0,7.5509e-05
15.0,8.4149e-05
20.0,8.8766e-05
25.0,9.1309e-05
30.0,9.262e-05
35.0,9.3159e-05
40.0,9.3211e-05
45.0,9.2962e-05
50.0,9.2535e-05
55.0,9.2011e-05
60.0,9.1444e-05
65.0,9.0868e-05
70.0,9.0304e-05
75.0,8.9766e-05
80.0,8.9258e-05
85.0,8.8785e-05
90.0,8.8347e-05
95.0,8.7942e-05
100.0,8.757e-05
