energy_MeV,niel_MeV_cm2_g
0.0001,2.7792
0.00015,2.9128
0.0002,2.9527
0.00025,2.9501
0.0003,2.9259
0.00035,2.8901
0.0004,2.8482
0.00045,2.8031
0.0005,2.7567
0.00055,2.71
0.0006,2.6637
0.00065,2.6183
0.0007,2.574
0.00075,2.5309
0.0008,2.4891
0.00085,2.4486
0.0009,2.4095
0.00095,2.3716
0.001,2.3351
0.0015,2.0305
0.002,1.8072
0.0025,1.6361
0.003,1.5001
0.0035,1.4273
0.004,1.3657
0.0045,1.3113
0.005,1.2629
0.0055,1.2193
0.006,1.1799
0.0065,1.1439
0.007,1.1108
0.0075,1.0803
0.008,1.052
0.0085,1.0257
0.009,1.0011
0.0095,0.97809
0.01,0.95643
0.015,0.79265
0.02,0.68555
0.025,0.6083
0.03,0.54921
0.035,0.50217
0.04,0.46363
0.045,0.43134
0.05,0.40383
0.055,0.38046
0.06,0.36015
0.065,0.34222
0.07,0.32625
0.075,0.31191
0.08,0.29896
0.085,0.28719
0.09,0.27644
0.095,0.26657
0.1,0.25748
0.15,0.19428
0.2,0.156
0.25,0.13094
0.3,0.11322
0.35,0.10003
0.4,0.08979
0.45,0.081579
0.5,0.074835
0.55,0.069189
0.6,0.064388
0.65,0.060251
0.7,0.056626
0.75,0.053427
0.8,0.050599
0.85,0.048078
0.9,0.045817
0.95,0.043773
1.0,0.041876
1.5,0.029489
2.0,0.022989
2.5,0.018814
3.0,0.015959
3.5,0.013886
4.0,0.012365
4.5,0.011162
5.0,0.010163
5.5,0.009337
6.0,0.0086524
6.5,0.0080769
7.0,0.0075843
7.5,0.0071557
8.0,0.0067776
8.5,0.0064403
9.0,0.0061368
9.5,0.005862
10.0,0.005612
15.0,0.0039942
20.0,0.0032012
25.0,0.0027375
30.0,0.0024226
35.0,0.0021848
40.0,0.0019948
45.0,0.001839
50.0,0.0017098
55.0,0.0016018
60.0,0.0015107
65.0,0.0014333
70.0,0.0013669
75.0,0.0013095
80.0,0.0012595
85.0,0.0012154
90.0,0.0011762
95.0,0.0011412
100.0,0.0011096
150.0,0.0009016
200.0,0.0007886
250.0,0.00072338
300.0,0.0006883
350.0,0.00067217
400.0,0.00066721
450.0,0.00066821
500.0,0.00067185
550.0,0.00067626
600.0,0.00068054
650.0,0.0006844
700.0,0.00068784
750.0,0.00069084
800.0,0.00069333
850.0,0.000695
900.0,0.00069535
950.0,0.00069366
1000.0,0.00068909
