energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,5.9352e-06
0.2,8.6562e-06
0.25,1.027e-05
0.3,1.1416e-05
0.35,1.2327e-05
0.4,1.3105e-05
0.45,1.3798e-05
0.5,1.4435e-05
0.55,1.503e-05
0.6,1.5592e-05
0.65,1.6127e-05
0.7,1.664e-05
0.75,1.7401e-05
0.8,1.8239e-05
0.85,1.9119e-05
0.9,2.0026e-05
0.95,2.0949e-05
1.0,2.1878e-05
1.5,3.0688e-05
2.0,3.8033e-05
2.5,4.4096e-05
3.0,4.9198e-05
3.5,5.3577e-05
4.0,5.7399e-05
4.5,6.0779e-05
5.0,6.3804e-05
5.5,6.6535e-05
6.0,6.9022e-05
6.5,7.1301e-05
7.0,7.3401e-05
7.5,7.5346e-05
8.0,7.7156e-05
8.5,7.8846e-05
9.0,8.043e-05
9.5,8.1918e-05
10.0,8.3321e-05
15.0,9.3997e-05
20.0,0.00010095
25.0,0.00010583
30.0,0.00010939
35.0,0.00011204
40.0,0.00011403
45.0,0.00011554
50.0,0.00011668
55.0,0.00011755
60.0,0.00011821
65.0,0.00011871
70.0,0.00011907
75.0,0.00011935
80.0,0.00011954
85.0,0.00011968
90.0,0.00011977
95.0,0.00011983
100.0,0.00011986
