energy_MeV,niel_MeV_cm2_g
0.0001,0.79686
0.00015,1.4236
0.0002,1.7992
0.00025,2.0473
0.0003,2.2201
0.00035,2.3444
0.0004,2.4354
0.00045,2.5026
0.0005,2.5523
0.00055,2.5886
0.0006,2.6147
0.00065,2.6327
0.0007,2.6856
0.00075,2.7381
0.0008,2.7819
0.00085,2.8184
0.0009,2.8487
0.00095,2.8738
0.001,2.8944
0.0015,2.9533
0.002,2.8942
0.0025,2.8003
0.003,2.698
0.0035,2.5967
0.004,2.5001
0.0045,2.4094
0.005,2.3247
0.0055,2.2459
0.006,2.1726
0.0065,2.1043
0.007,2.0406
0.0075,1.981
0.008,1.9252
0.0085,1.8729
0.009,1.8237
0.0095,1.7774
0.01,1.7337
0.015,1.4013
0.02,1.186
0.025,1.0336
0.03,0.91934
0.035,0.83
0.04,0.75799
0.045,0.69855
0.05,0.64855
0.055,0.60584
0.06,0.56887
0.065,0.53653
0.07,0.50797
0.075,0.48254
0.08,0.45974
0.085,0.43917
0.09,0.42051
0.095,0.40349
0.1,0.38789
0.15,0.28243
0.2,0.2246
0.25,0.18769
0.3,0.1619
0.35,0.14258
0.4,0.12703
0.45,0.11471
0.5,0.1047
0.55,0.09638
0.6,0.089359
0.65,0.083348
0.7,0.07814
0.75,0.073581
0.8,0.069554
0.85,0.065971
0.9,0.06276
0.95,0.059859
1.0,0.057148
1.5,0.039542
2.0,0.030391
2.5,0.024754
3.0,0.020931
3.5,0.018236
4.0,0.016256
4.5,0.01471
5.0,0.013461
5.5,0.01244
6.0,0.011606
6.5,0.010914
7.0,0.010324
7.5,0.0098105
8.0,0.0093599
8.5,0.0089622
9.0,0.0086098
9.5,0.0082963
10.0,0.0080163
15.0,0.0063197
20.0,0.0055237
25.0,0.005049
30.0,0.0047233
35.0,0.004478
40.0,0.0042822
45.0,0.0041204
50.0,0.0039839
55.0,0.0038675
60.0,0.0037671
65.0,0.0036799
70.0,0.0036035
75.0,0.003536
80.0,0.0034758
85.0,0.0034217
90.0,0.0033727
95.0,0.0033279
100.0,0.0032866
150.0,0.0029857
200.0,0.0027982
250.0,0.0026999
300.0,0.0026737
350.0,0.002696
400.0,0.0027454
450.0,0.0028064
500.0,0.0028687
550.0,0.0029267
600.0,0.0029784
650.0,0.0030234
700.0,0.0030627
750.0,0.0030969
800.0,0.003126
850.0,0.0031488
900.0,0.0031632
950.0,0.003166
1000.0,0.0031532
