energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,1.3808e-06
0.2,2.2737e-06
0.25,4.8894e-06
0.3,8.051e-06
0.35,1.0643e-05
0.4,1.2867e-05
0.45,1.4836e-05
0.5,1.6618e-05
0.55,1.8254e-05
0.6,1.9774e-05
0.65,2.1198e-05
0.7,2.2539e-05
0.75,2.3809e-05
0.8,2.5017e-05
0.85,2.6169e-05
0.9,2.7271e-05
0.95,2.8328e-05
1.0,2.9344e-05
1.5,3.7816e-05
2.0,4.4271e-05
2.5,4.949e-05
3.0,5.3862e-05
3.5,5.7617e-05
4.0,6.0902e-05
4.5,6.3816e-05
5.0,6.6431e-05
5.5,6.8798e-05
6.0,7.0959e-05
6.5,7.2943e-05
7.0,7.4776e-05
7.5,7.6477e-05
8.0,7.8063e-05
8.5,7.9545e-05
9.0,8.0937e-05
9.5,8.2247e-05
10.0,8.3483e-05
15.0,9.2937e-05
20.0,9.9138e-05
25.0,0.00010351
30.0,0.00010671
35.0,0.00010909
40.0,0.00011089
45.0,0.00011225
50.0,0.00011328
55.0,0.00011406
60.0,0.00011465
65.0,0.00011509
70.0,0.00011541
75.0,0.00011565
80.0,0.00011582
85.0,0.00011594
90.0,0.00011601
95.0,0.00011605
100.0,0.00011607
