energy_MeV,niel_MeV_cm2_g
0.0001,0.21579
0.00015,0.44876
0.0002,0.89394
0.00025,1.2059
0.0003,1.4376
0.00035,1.6164
0.0004,1.758
0.00045,1.8723
0.0005,1.9661
0.00055,2.0438
0.0006,2.1087
0.00065,2.1633
0.0007,2.2095
0.00075,2.2486
0.0008,2.2819
0.00085,2.3102
0.0009,2.3342
0.00095,2.3546
0.001,2.3719
0.0015,2.4373
0.002,2.411
0.0025,2.3533
0.003,2.2846
0.0035,2.2135
0.004,2.1434
0.0045,2.0761
0.005,2.012
0.0055,1.9515
0.006,1.8944
0.0065,1.8407
0.007,1.7901
0.0075,1.7424
0.008,1.6975
0.0085,1.655
0.009,1.6148
0.0095,1.5768
0.01,1.5407
0.015,1.2613
0.02,1.0758
0.025,0.94269
0.03,0.84186
0.035,0.76247
0.04,0.69813
0.045,0.64479
0.05,0.59975
0.055,0.56115
0.06,0.52766
0.065,0.49829
0.07,0.4723
0.075,0.44911
0.08,0.42829
0.085,0.40948
0.09,0.39238
0.095,0.37677
0.1,0.36246
0.15,0.26508
0.2,0.21103
0.25,0.17629
0.3,0.15219
0.35,0.1342
0.4,0.12028
0.45,0.1092
0.5,0.10015
0.55,0.092612
0.6,0.086225
0.65,0.080738
0.7,0.075969
0.75,0.071671
0.8,0.067637
0.85,0.064049
0.9,0.060836
0.95,0.057942
1.0,0.055321
1.5,0.038298
2.0,0.029453
2.5,0.024013
3.0,0.020329
3.5,0.017671
4.0,0.015662
4.5,0.014119
5.0,0.012921
5.5,0.011935
6.0,0.011102
6.5,0.010398
7.0,0.0098003
7.5,0.009291
8.0,0.0088542
8.5,0.0084766
9.0,0.0081471
9.5,0.0078569
10.0,0.007599
15.0,0.0060168
20.0,0.0053114
25.0,0.0049483
30.0,0.0047064
35.0,0.0045075
40.0,0.0043337
45.0,0.004184
50.0,0.0040586
55.0,0.0039561
60.0,0.0038733
65.0,0.0038066
70.0,0.0037524
75.0,0.0037074
80.0,0.0036689
85.0,0.0036348
90.0,0.0036035
95.0,0.0035737
100.0,0.0035447
150.0,0.0032676
200.0,0.0030849
250.0,0.0030223
300.0,0.0030263
350.0,0.0030516
400.0,0.0030789
450.0,0.0031071
500.0,0.0031415
550.0,0.0031869
600.0,0.0032435
650.0,0.0033068
700.0,0.0033687
750.0,0.0034197
800.0,0.0034518
850.0,0.0034616
900.0,0.0034532
950.0,0.0034394
1000.0,0.0034431
