energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,1.9478e-06
0.2,2.8407e-06
0.25,3.3704e-06
0.3,3.7464e-06
0.35,4.0453e-06
0.4,4.3005e-06
0.45,4.5283e-06
0.5,4.7372e-06
0.55,4.9324e-06
0.6,5.1168e-06
0.65,5.2925e-06
0.7,5.4608e-06
0.75,6.4722e-06
0.8,7.8017e-06
0.85,9.3131e-06
0.9,1.0922e-05
0.95,1.2572e-05
1.0,1.4228e-05
1.5,2.852e-05
2.0,3.8421e-05
2.5,4.5558e-05
3.0,5.1019e-05
3.5,5.5394e-05
4.0,5.902e-05
4.5,6.2102e-05
5.0,6.4775e-05
5.5,6.7127e-05
6.0,6.9222e-05
6.5,7.1106e-05
7.0,7.2813e-05
7.5,7.4371e-05
8.0,7.58e-05
8.5,7.7116e-05
9.0,7.8334e-05
9.5,7.9464e-05
10.0,8.0516e-05
15.0,8.7998e-05
20.0,9.2126e-05
25.0,9.4395e-05
30.0,9.5519e-05
35.0,9.5913e-05
40.0,9.5844e-05
45.0,9.549e-05
50.0,9.4969e-05
55.0,9.4363e-05
60.0,9.3722e-05
65.0,9.308e-05
70.0,9.2457e-05
75.0,9.1866e-05
80.0,9.1312e-05
85.0,9.0797e-05
90.0,9.0321e-05
95.0,8.9883e-05
100.0,8.9481e-05
