energy_MeV,niel_MeV_cm2_g
0.0001,0.26151
0.00015,0.46718
0.0002,0.59044
0.00025,0.67185
0.0003,0.72857
0.00035,0.76936
0.0004,0.79923
0.00045,0.82129
0.0005,0.83758
0.00055,0.84951
0.0006,0.85807
0.00065,0.86399
0.0007,0.89146
0.00075,0.91473
0.0008,0.93484
0.00085,0.9523
0.0009,0.96748
0.00095,0.98072
0.001,0.99228
0.0015,1.0507
0.002,1.0596
0.0025,1.0503
0.003,1.0337
0.0035,1.014
0.004,0.99338
0.0045,0.97266
0.005,0.95234
0.0055,0.93267
0.006,0.91375
0.0065,0.8956
0.007,0.87823
0.0075,0.86162
0.008,0.84573
0.0085,0.83052
0.009,0.81596
0.0095,0.80201
0.01,0.78864
0.015,0.67975
0.02,0.6017
0.025,0.54237
0.03,0.49539
0.035,0.45705
0.04,0.42503
0.045,0.39781
0.05,0.37433
0.055,0.35383
0.06,0.33574
0.065,0.31964
0.07,0.30521
0.075,0.29218
0.08,0.28035
0.085,0.26955
0.09,0.25965
0.095,0.25054
0.1,0.24211
0.15,0.18304
0.2,0.14884
0.25,0.12624
0.3,0.11007
0.35,0.097823
0.4,0.088004
0.45,0.080093
0.5,0.07357
0.55,0.068091
0.6,0.06342
0.65,0.059385
0.7,0.055865
0.75,0.05278
0.8,0.050048
0.85,0.04761
0.9,0.04542
0.95,0.043441
1.0,0.041643
1.5,0.029812
2.0,0.023516
2.5,0.019305
3.0,0.016392
3.5,0.014295
4.0,0.012718
4.5,0.011478
5.0,0.010474
5.5,0.0096446
6.0,0.008948
6.5,0.0083549
7.0,0.0078436
7.5,0.0073982
8.0,0.0070065
8.5,0.0066592
9.0,0.0063492
9.5,0.0060706
10.0,0.0058189
15.0,0.0041976
20.0,0.0033572
25.0,0.0028324
30.0,0.0024699
35.0,0.0022037
40.0,0.0019999
45.0,0.0018386
50.0,0.0017075
55.0,0.0015982
60.0,0.0015053
65.0,0.001425
70.0,0.0013545
75.0,0.0012919
80.0,0.0012357
85.0,0.001185
90.0,0.0011388
95.0,0.0010966
100.0,0.0010579
150.0,0.00079884
200.0,0.00066767
250.0,0.00059324
300.0,0.00054611
350.0,0.00051326
400.0,0.00048879
450.0,0.00046988
500.0,0.00045507
550.0,0.00044341
600.0,0.00043415
650.0,0.0004266
700.0,0.00042015
750.0,0.00041434
800.0,0.00040883
850.0,0.00040356
900.0,0.00039869
950.0,0.00039468
1000.0,0.00039231
