energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,0.0
0.35,0.0
0.4,0.0
0.45,9.01e-07
0.5,2.8344e-06
0.55,4.8845e-06
0.6,6.9509e-06
0.65,8.9779e-06
0.7,1.0936e-05
0.75,1.2812e-05
0.8,1.4601e-05
0.85,1.6302e-05
0.9,1.7919e-05
0.95,1.9455e-05
1.0,2.0916e-05
1.5,3.2372e-05
2.0,4.0242e-05
2.5,4.6164e-05
3.0,5.0886e-05
3.5,5.4798e-05
4.0,5.8129e-05
4.5,6.1022e-05
5.0,6.3574e-05
5.5,6.5851e-05
6.0,6.7905e-05
6.5,6.977e-05
7.0,7.1475e-05
7.5,7.3044e-05
8.0,7.4493e-05
8.5,7.5837e-05
9.0,7.7088e-05
9.5,7.8255e-05
10.0,7.9349e-05
15.0,8.736e-05
20.0,9.2107e-05
25.0,9.5021e-05
30.0,9.6781e-05
35.0,9.7776e-05
40.0,9.8257e-05
45.0,9.8392e-05
50.0,9.8299e-05
55.0,9.8058e-05
60.0,9.7727e-05
65.0,9.7344e-05
70.0,9.6936e-05
75.0,9.6522e-05
80.0,9.6111e-05
85.0,9.5713e-05
90.0,9.5331e-05
95.0,9.4968e-05
100.0,9.4625e-05
