energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.0
0.0002,0.0
0.00025,0.0
0.0003,0.0
0.00035,0.037063
0.0004,0.10897
0.00045,0.17014
0.0005,0.22299
0.00055,0.26921
0.0006,0.31006
0.00065,0.34645
0.0007,0.37911
0.00075,0.4086
0.0008,0.43536
0.00085,0.45976
0.0009,0.4821
0.00095,0.50261
0.001,0.52152
0.0015,0.65084
0.002,0.71942
0.0025,0.75848
0.003,0.78098
0.0035,0.79334
0.004,0.79915
0.0045,0.80058
0.005,0.79899
0.0055,0.79528
0.006,0.79009
0.0065,0.78384
0.007,0.77685
0.0075,0.76935
0.008,0.7615
0.0085,0.75342
0.009,0.74522
0.0095,0.73696
0.01,0.72869
0.015,0.65122
0.02,0.58728
0.025,0.53535
0.03,0.49263
0.035,0.45692
0.04,0.42659
0.045,0.4005
0.05,0.37778
0.055,0.35779
0.06,0.34006
0.065,0.3242
0.07,0.30993
0.075,0.29701
0.08,0.28524
0.085,0.27447
0.09,0.26458
0.095,0.25545
0.1,0.24701
0.15,0.18735
0.2,0.15241
0.25,0.1292
0.3,0.11253
0.35,0.099937
0.4,0.090048
0.45,0.082072
0.5,0.075517
0.55,0.07002
0.6,0.065338
0.65,0.06131
0.7,0.057815
0.75,0.054742
0.8,0.052014
0.85,0.049576
0.9,0.047383
0.95,0.045397
1.0,0.04359
1.5,0.031357
2.0,0.024526
2.5,0.020098
3.0,0.017071
3.5,0.014864
4.0,0.013182
4.5,0.011854
5.0,0.01078
5.5,0.0098909
6.0,0.0091432
6.5,0.008505
7.0,0.0079537
7.5,0.0074725
8.0,0.0070487
8.5,0.0066724
9.0,0.0063361
9.5,0.0060335
10.0,0.0057599
15.0,0.0039925
20.0,0.0030812
25.0,0.0025226
30.0,0.0021442
35.0,0.0018705
40.0,0.001663
45.0,0.0015001
50.0,0.0013688
55.0,0.0012607
60.0,0.00117
65.0,0.0010929
70.0,0.0010265
75.0,0.00096868
80.0,0.00091789
85.0,0.00087292
90.0,0.00083281
95.0,0.00079681
100.0,0.00076432
150.0,0.00055636
200.0,0.00045086
250.0,0.00038708
300.0,0.00034443
350.0,0.00031395
400.0,0.00029111
450.0,0.0002734
500.0,0.00025929
550.0,0.00024779
600.0,0.00023827
650.0,0.00023026
700.0,0.00022344
750.0,0.00021757
800.0,0.00021247
850.0,0.000208
900.0,0.00020406
950.0,0.00020057
1000.0,0.00019745
