energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,4.4079e-06
0.2,9.417e-06
0.25,1.3891e-05
0.3,1.7149e-05
0.35,1.9741e-05
0.4,2.1927e-05
0.45,2.3842e-05
0.5,2.5564e-05
0.55,2.7139e-05
0.6,2.8598e-05
0.65,2.9963e-05
0.7,3.1249e-05
0.75,3.2466e-05
0.8,3.3624e-05
0.85,3.4729e-05
0.9,3.5787e-05
0.95,3.6803e-05
1.0,3.7781e-05
1.5,4.598e-05
2.0,5.2284e-05
2.5,5.741e-05
3.0,6.1722e-05
3.5,6.5436e-05
4.0,6.8691e-05
4.5,7.1583e-05
5.0,7.4182e-05
5.5,7.6537e-05
6.0,7.8688e-05
6.5,8.0665e-05
7.0,8.2492e-05
7.5,8.4188e-05
8.0,8.5769e-05
8.5,8.7249e-05
9.0,8.8638e-05
9.5,8.9945e-05
10.0,9.1179e-05
15.0,0.00010062
20.0,0.0001068
25.0,0.00011114
30.0,0.00011429
35.0,0.00011662
40.0,0.00011836
45.0,0.00011967
50.0,0.00012064
55.0,0.00012136
60.0,0.00012189
65.0,0.00012227
70.0,0.00012254
75.0,0.00012273
80.0,0.00012285
85.0,0.00012292
90.0,0.00012295
95.0,0.00012295
100.0,0.00012293
