energy_MeV,niel_MeV_cm2_g
0.0001,0.15754
0.00015,0.53344
0.0002,0.83963
0.00025,1.0607
0.0003,1.2294
0.00035,1.3628
0.0004,1.471
0.00045,1.5605
0.0005,1.6356
0.00055,1.6992
0.0006,1.7537
0.00065,1.8006
0.0007,1.8412
0.00075,1.8765
0.0008,1.9074
0.00085,1.9344
0.0009,1.9581
0.00095,1.9789
0.001,1.9971
0.0015,2.0894
0.002,2.098
0.0025,2.0727
0.003,2.0325
0.0035,1.9858
0.004,1.9368
0.0045,1.8876
0.005,1.8393
0.0055,1.7926
0.006,1.7477
0.0065,1.7047
0.007,1.6637
0.0075,1.6246
0.008,1.5873
0.0085,1.5517
0.009,1.5179
0.0095,1.4856
0.01,1.4547
0.015,1.2099
0.02,1.0423
0.025,0.91973
0.03,0.8257
0.035,0.75098
0.04,0.68998
0.045,0.63911
0.05,0.59595
0.055,0.5588
0.06,0.52646
0.065,0.498
0.07,0.47275
0.075,0.45017
0.08,0.42985
0.085,0.41145
0.09,0.39469
0.095,0.37937
0.1,0.3653
0.15,0.26889
0.2,0.21474
0.25,0.17977
0.3,0.15566
0.35,0.13785
0.4,0.12407
0.45,0.11307
0.5,0.10406
0.55,0.096527
0.6,0.090128
0.65,0.084617
0.7,0.079815
0.75,0.075316
0.8,0.071186
0.85,0.067427
0.9,0.064059
0.95,0.061024
1.0,0.058275
1.5,0.040398
2.0,0.031093
2.5,0.025357
3.0,0.021454
3.5,0.018621
4.0,0.016469
4.5,0.0148
5.0,0.013488
5.5,0.012421
6.0,0.011538
6.5,0.010794
7.0,0.010157
7.5,0.0096087
8.0,0.0091326
8.5,0.008717
9.0,0.0083518
9.5,0.0080286
10.0,0.0077408
15.0,0.0060076
20.0,0.0052759
25.0,0.0049123
30.0,0.0046726
35.0,0.0044745
40.0,0.0043007
45.0,0.0041512
50.0,0.004027
55.0,0.0039271
60.0,0.0038485
65.0,0.0037876
70.0,0.0037407
75.0,0.0037043
80.0,0.0036755
85.0,0.0036519
90.0,0.0036317
95.0,0.0036135
100.0,0.0035962
150.0,0.0034137
200.0,0.0032627
250.0,0.003196
300.0,0.0031899
350.0,0.0032149
400.0,0.0032565
450.0,0.0033108
500.0,0.0033768
550.0,0.0034517
600.0,0.0035298
650.0,0.0036024
700.0,0.0036596
750.0,0.0036936
800.0,0.0037015
850.0,0.0036887
900.0,0.0036694
950.0,0.0036676
1000.0,0.0037193
