energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,1.9617e-06
0.25,5.9508e-06
0.3,9.0061e-06
0.35,1.1447e-05
0.4,1.3518e-05
0.45,1.5473e-05
0.5,1.7248e-05
0.55,1.8885e-05
0.6,2.0409e-05
0.65,2.184e-05
0.7,2.3192e-05
0.75,2.4476e-05
0.8,2.5699e-05
0.85,2.6868e-05
0.9,2.7989e-05
0.95,2.9065e-05
1.0,3.0102e-05
1.5,3.88e-05
2.0,4.5478e-05
2.5,5.0897e-05
3.0,5.5447e-05
3.5,5.9358e-05
4.0,6.2781e-05
4.5,6.5818e-05
5.0,6.8542e-05
5.5,7.1008e-05
6.0,7.3257e-05
6.5,7.5322e-05
7.0,7.7227e-05
7.5,7.8994e-05
8.0,8.064e-05
8.5,8.2178e-05
9.0,8.3619e-05
9.5,8.4975e-05
10.0,8.6253e-05
15.0,9.5978e-05
20.0,0.00010229
25.0,0.00010669
30.0,0.00010988
35.0,0.00011224
40.0,0.00011401
45.0,0.00011534
50.0,0.00011634
55.0,0.00011711
60.0,0.00011768
65.0,0.00011811
70.0,0.00011843
75.0,0.00011866
80.0,0.00011883
85.0,0.00011895
90.0,0.00011903
95.0,0.00011907
100.0,0.0001191
