energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.53544
0.0002,1.3811
0.00025,1.9337
0.0003,2.3124
0.00035,2.6091
0.0004,2.8337
0.00045,3.0032
0.0005,3.1327
0.00055,3.2324
0.0006,3.3095
0.00065,3.3689
0.0007,3.4145
0.00075,3.4491
0.0008,3.4748
0.00085,3.4933
0.0009,3.5058
0.00095,3.5135
0.001,3.5172
0.0015,3.4347
0.002,3.278
0.0025,3.1153
0.003,2.9624
0.0035,2.8228
0.004,2.6963
0.0045,2.5817
0.005,2.4776
0.0055,2.3827
0.006,2.2958
0.0065,2.216
0.007,2.1424
0.0075,2.0743
0.008,2.0111
0.0085,1.9522
0.009,1.8973
0.0095,1.8458
0.01,1.7974
0.015,1.4367
0.02,1.2083
0.025,1.0488
0.03,0.93003
0.035,0.83776
0.04,0.7637
0.045,0.70278
0.05,0.65167
0.055,0.60781
0.06,0.56993
0.065,0.53692
0.07,0.50787
0.075,0.48207
0.08,0.459
0.085,0.43822
0.09,0.4194
0.095,0.40227
0.1,0.38658
0.15,0.28081
0.2,0.22204
0.25,0.1845
0.3,0.15856
0.35,0.13937
0.4,0.12463
0.45,0.11291
0.5,0.10336
0.55,0.095408
0.6,0.088685
0.65,0.082894
0.7,0.077847
0.75,0.073423
0.8,0.06935
0.85,0.065632
0.9,0.062304
0.95,0.059308
1.0,0.056595
1.5,0.039017
2.0,0.029914
2.5,0.024323
3.0,0.02053
3.5,0.0178
4.0,0.015833
4.5,0.014303
5.0,0.01304
5.5,0.012019
6.0,0.011195
6.5,0.010511
7.0,0.0099281
7.5,0.0094232
8.0,0.0089813
8.5,0.0085913
9.0,0.0082448
9.5,0.007935
10.0,0.007657
15.0,0.0059545
20.0,0.0051883
25.0,0.0047705
30.0,0.0044936
35.0,0.0042759
40.0,0.0040892
45.0,0.0039253
50.0,0.0037817
55.0,0.0036569
60.0,0.003549
65.0,0.0034562
70.0,0.0033762
75.0,0.0033073
80.0,0.0032475
85.0,0.0031953
90.0,0.0031493
95.0,0.0031084
100.0,0.0030716
150.0,0.0028141
200.0,0.0026445
250.0,0.0025459
300.0,0.002512
350.0,0.0025252
400.0,0.002567
450.0,0.0026224
500.0,0.0026809
550.0,0.0027361
600.0,0.0027848
650.0,0.0028257
700.0,0.0028588
750.0,0.0028847
800.0,0.0029036
850.0,0.0029158
900.0,0.0029212
950.0,0.0029191
1000.0,0.0029091
