energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,1.9503e-07
0.07,3.5967e-06
0.075,6.3978e-06
0.08,8.7324e-06
0.085,1.0699e-05
0.09,1.3205e-05
0.095,1.5499e-05
0.1,1.7489e-05
0.15,2.8446e-05
0.2,3.2979e-05
0.25,3.5607e-05
0.3,3.7502e-05
0.35,3.9063e-05
0.4,4.0451e-05
0.45,4.1736e-05
0.5,4.2954e-05
0.55,4.4123e-05
0.6,4.5253e-05
0.65,4.6348e-05
0.7,4.7413e-05
0.75,4.845e-05
0.8,4.9461e-05
0.85,5.0447e-05
0.9,5.1408e-05
0.95,5.2347e-05
1.0,5.3263e-05
1.5,6.1368e-05
2.0,6.796e-05
2.5,7.347e-05
3.0,7.818e-05
3.5,8.2279e-05
4.0,8.5898e-05
4.5,8.9132e-05
5.0,9.2049e-05
5.5,9.4703e-05
6.0,9.7134e-05
6.5,9.9373e-05
7.0,0.00010145
7.5,0.00010338
8.0,0.00010518
8.5,0.00010687
9.0,0.00010846
9.5,0.00010995
10.0,0.00011137
15.0,0.00012229
20.0,0.00012958
25.0,0.00013483
30.0,0.00013877
35.0,0.00014181
40.0,0.00014419
45.0,0.00014608
50.0,0.00014758
55.0,0.00014879
60.0,0.00014976
65.0,0.00015056
70.0,0.0001512
75.0,0.00015172
80.0,0.00015215
85.0,0.0001525
90.0,0.00015279
95.0,0.00015303
100.0,0.00015323
