energy_MeV,niel_MeV_cm2_g
0.0001,2.9278
0.00015,4.1241
0.0002,4.8411
0.00025,5.3126
0.0003,5.6386
0.00035,5.8703
0.0004,6.0373
0.00045,6.1579
0.0005,6.2443
0.00055,6.3047
0.0006,6.3452
0.00065,6.37
0.0007,6.3824
0.00075,6.3849
0.0008,6.3795
0.00085,6.3675
0.0009,6.3504
0.00095,6.3289
0.001,6.3039
0.0015,5.9596
0.002,5.5807
0.0025,5.2294
0.003,4.9159
0.0035,4.6384
0.004,4.3924
0.0045,4.1734
0.005,3.9774
0.0055,3.801
0.006,3.6413
0.0065,3.4961
0.007,3.3634
0.0075,3.2417
0.008,3.1295
0.0085,3.0258
0.009,2.9296
0.0095,2.8401
0.01,2.7565
0.015,2.148
0.02,1.7763
0.025,1.5229
0.03,1.3377
0.035,1.1958
0.04,1.0832
0.045,0.99144
0.05,0.91508
0.055,0.85044
0.06,0.79494
0.065,0.74673
0.07,0.70441
0.075,0.66695
0.08,0.63352
0.085,0.6035
0.09,0.57638
0.095,0.55174
0.1,0.52925
0.15,0.38013
0.2,0.30065
0.25,0.25064
0.3,0.21602
0.35,0.19041
0.4,0.16875
0.45,0.15159
0.5,0.13769
0.55,0.12619
0.6,0.11651
0.65,0.10825
0.7,0.10111
0.75,0.094875
0.8,0.089384
0.85,0.084509
0.9,0.080151
0.95,0.07623
1.0,0.072684
1.5,0.049786
2.0,0.037991
2.5,0.030774
3.0,0.025946
3.5,0.022611
4.0,0.020211
4.5,0.018378
5.0,0.016922
5.5,0.015734
6.0,0.014745
6.5,0.013912
7.0,0.013199
7.5,0.012585
8.0,0.012051
8.5,0.011582
9.0,0.011169
9.5,0.010802
10.0,0.010475
15.0,0.0084413
20.0,0.0073647
25.0,0.006628
30.0,0.0060821
35.0,0.0056655
40.0,0.0053397
45.0,0.0050771
50.0,0.0048581
55.0,0.0046692
60.0,0.0045014
65.0,0.0043486
70.0,0.0042072
75.0,0.0040746
80.0,0.0039496
85.0,0.0038313
90.0,0.0037192
95.0,0.0036131
100.0,0.0035127
150.0,0.0027886
200.0,0.0024236
250.0,0.0022374
300.0,0.002132
350.0,0.0020632
400.0,0.0020131
450.0,0.0019752
500.0,0.0019468
550.0,0.0019263
600.0,0.0019118
650.0,0.001901
700.0,0.0018917
750.0,0.0018818
800.0,0.0018704
850.0,0.0018574
900.0,0.0018445
950.0,0.0018348
1000.0,0.0018332
