energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,1.0137e-07
0.35,3.3254e-07
0.4,5.3397e-07
0.45,7.1514e-07
0.5,8.8149e-07
0.55,1.0364e-06
0.6,1.182e-06
0.65,1.32e-06
0.7,1.4513e-06
0.75,1.5768e-06
0.8,1.6972e-06
0.85,1.813e-06
0.9,1.9246e-06
0.95,2.0323e-06
1.0,2.1364e-06
1.5,3.7251e-06
2.0,6.4747e-06
2.5,9.1098e-06
3.0,1.1606e-05
3.5,1.5381e-05
4.0,1.9563e-05
4.5,2.3577e-05
5.0,2.726e-05
5.5,3.0587e-05
6.0,3.3582e-05
6.5,3.6279e-05
7.0,3.8717e-05
7.5,4.093e-05
8.0,4.2946e-05
8.5,4.4792e-05
9.0,4.6488e-05
9.5,4.8051e-05
10.0,4.9499e-05
15.0,5.9654e-05
20.0,6.5371e-05
25.0,6.8824e-05
30.0,7.0924e-05
35.0,7.2156e-05
40.0,7.2813e-05
45.0,7.3087e-05
50.0,7.3108e-05
55.0,7.2964e-05
60.0,7.2717e-05
65.0,7.2408e-05
70.0,7.2067e-05
75.0,7.1712e-05
80.0,7.1356e-05
85.0,7.1007e-05
90.0,7.0671e-05
95.0,7.035e-05
100.0,7.0045e-05
