energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.0
0.0002,0.0
0.00025,0.083779
0.0003,0.15602
0.00035,0.21028
0.0004,0.25218
0.00045,0.28521
0.0005,0.31164
0.00055,0.33302
0.0006,0.35046
0.00065,0.36477
0.0007,0.37655
0.00075,0.38628
0.0008,0.39431
0.00085,0.40092
0.0009,0.40634
0.00095,0.41077
0.001,0.41434
0.0015,0.42859
0.002,0.48614
0.0025,0.51226
0.003,0.52297
0.0035,0.52538
0.004,0.52309
0.0045,0.51803
0.005,0.51135
0.0055,0.50372
0.006,0.49864
0.0065,0.50471
0.007,0.50859
0.0075,0.51077
0.008,0.51163
0.0085,0.51145
0.009,0.51046
0.0095,0.50881
0.01,0.50666
0.015,0.47248
0.02,0.43479
0.025,0.4011
0.03,0.37203
0.035,0.34702
0.04,0.32538
0.045,0.30651
0.05,0.2899
0.055,0.27519
0.06,0.26204
0.065,0.25023
0.07,0.23956
0.075,0.22985
0.08,0.22099
0.085,0.21285
0.09,0.20537
0.095,0.19844
0.1,0.19202
0.15,0.14629
0.2,0.11938
0.25,0.10147
0.3,0.088597
0.35,0.078835
0.4,0.071026
0.45,0.064728
0.5,0.059541
0.55,0.055189
0.6,0.051478
0.65,0.048269
0.7,0.045431
0.75,0.042938
0.8,0.04073
0.85,0.038759
0.9,0.036988
0.95,0.035387
1.0,0.033932
1.5,0.024154
2.0,0.018921
2.5,0.015578
3.0,0.013282
3.5,0.01162
4.0,0.010363
4.5,0.00937
5.0,0.0085638
5.5,0.0078961
6.0,0.0073364
6.5,0.0068663
7.0,0.0064667
7.5,0.0061188
8.0,0.0058107
8.5,0.0055355
9.0,0.0052888
9.5,0.005067
10.0,0.004867
15.0,0.0036248
20.0,0.0030363
25.0,0.0026847
30.0,0.0024462
35.0,0.0022747
40.0,0.0021475
45.0,0.0020507
50.0,0.0019757
55.0,0.0019163
60.0,0.0018685
65.0,0.0018294
70.0,0.0017969
75.0,0.0017695
80.0,0.0017461
85.0,0.0017258
90.0,0.001708
95.0,0.0016922
100.0,0.0016781
150.0,0.0015842
200.0,0.0015365
250.0,0.0015268
300.0,0.0015495
350.0,0.0015941
400.0,0.0016496
450.0,0.0017071
500.0,0.001761
550.0,0.0018093
600.0,0.0018523
650.0,0.0018921
700.0,0.001931
750.0,0.0019703
800.0,0.0020101
850.0,0.0020477
900.0,0.0020781
950.0,0.0020929
1000.0,0.0020813
