energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,1.2808e-07
0.065,1.7578e-06
0.07,3.0709e-06
0.075,4.1432e-06
0.08,5.0294e-06
0.085,5.7694e-06
0.09,6.3931e-06
0.095,6.9233e-06
0.1,7.3776e-06
0.15,1.0139e-05
0.2,1.1703e-05
0.25,1.261e-05
0.3,1.479e-05
0.35,1.7117e-05
0.4,1.9194e-05
0.45,2.1087e-05
0.5,2.2836e-05
0.55,2.447e-05
0.6,2.6007e-05
0.65,2.746e-05
0.7,2.8839e-05
0.75,3.0153e-05
0.8,3.1408e-05
0.85,3.261e-05
0.9,3.3763e-05
0.95,3.4871e-05
1.0,3.5939e-05
1.5,4.4893e-05
2.0,5.1742e-05
2.5,5.7282e-05
3.0,6.1921e-05
3.5,6.5902e-05
4.0,6.938e-05
4.5,7.2462e-05
5.0,7.5223e-05
5.5,7.772e-05
6.0,7.9994e-05
6.5,8.208e-05
7.0,8.4004e-05
7.5,8.5786e-05
8.0,8.7443e-05
8.5,8.8991e-05
9.0,9.0441e-05
9.5,9.1803e-05
10.0,9.3086e-05
15.0,0.0001028
20.0,0.00010903
25.0,0.00011333
30.0,0.00011639
35.0,0.00011862
40.0,0.00012026
45.0,0.00012147
50.0,0.00012236
55.0,0.00012302
60.0,0.00012349
65.0,0.00012383
70.0,0.00012407
75.0,0.00012423
80.0,0.00012433
85.0,0.00012439
90.0,0.00012442
95.0,0.00012442
100.0,0.0001244
