energy_MeV,niel_MeV_cm2_g
0.0001,2.6219
0.00015,3.4397
0.0002,3.9119
0.00025,4.273
0.0003,4.5
0.00035,4.6449
0.0004,4.7363
0.00045,4.7916
0.0005,4.8216
0.00055,4.8335
0.0006,4.8323
0.00065,4.8215
0.0007,4.8035
0.00075,4.7801
0.0008,4.7528
0.00085,4.7226
0.0009,4.6901
0.00095,4.6561
0.001,4.6211
0.0015,4.2612
0.002,3.9397
0.0025,3.6675
0.003,3.4365
0.0035,3.2385
0.004,3.0666
0.0045,2.9157
0.005,2.782
0.0055,2.6625
0.006,2.5548
0.0065,2.4572
0.007,2.3682
0.0075,2.2867
0.008,2.2116
0.0085,2.1421
0.009,2.0777
0.0095,2.0177
0.01,1.9617
0.015,1.5513
0.02,1.2972
0.025,1.1217
0.03,0.99211
0.035,0.89193
0.04,0.81183
0.045,0.74612
0.05,0.69113
0.055,0.64417
0.06,0.60374
0.065,0.56856
0.07,0.53764
0.075,0.51023
0.08,0.48573
0.085,0.46369
0.09,0.44375
0.095,0.42561
0.1,0.40902
0.15,0.29736
0.2,0.23442
0.25,0.19435
0.3,0.16653
0.35,0.14617
0.4,0.13054
0.45,0.11812
0.5,0.10792
0.55,0.099451
0.6,0.092297
0.65,0.086169
0.7,0.080856
0.75,0.076204
0.8,0.072095
0.85,0.068435
0.9,0.065002
0.95,0.061859
1.0,0.059015
1.5,0.040609
2.0,0.031099
2.5,0.025266
3.0,0.021315
3.5,0.018471
4.0,0.016446
4.5,0.014857
5.0,0.013525
5.5,0.012433
6.0,0.011548
6.5,0.010823
7.0,0.010211
7.5,0.0096803
8.0,0.009212
8.5,0.0087942
9.0,0.0084187
9.5,0.0080793
10.0,0.0077719
15.0,0.0058667
20.0,0.0050398
25.0,0.0046012
30.0,0.0043093
35.0,0.004078
40.0,0.0038806
45.0,0.0037103
50.0,0.0035644
55.0,0.0034409
60.0,0.0033368
65.0,0.0032495
70.0,0.0031761
75.0,0.0031142
80.0,0.0030616
85.0,0.0030164
90.0,0.0029772
95.0,0.0029427
100.0,0.0029119
150.0,0.0026952
200.0,0.0025482
250.0,0.0024706
300.0,0.0024603
350.0,0.0024985
400.0,0.0025644
450.0,0.0026413
500.0,0.0027179
550.0,0.0027881
600.0,0.0028498
650.0,0.0029034
700.0,0.0029503
750.0,0.0029918
800.0,0.003028
850.0,0.0030576
900.0,0.0030778
950.0,0.0030837
1000.0,0.0030697
