energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,0.0
0.35,0.0
0.4,0.0
0.45,0.0
0.5,1.5835e-07
0.55,5.7185e-07
0.6,1.0081e-06
0.65,1.7874e-06
0.7,2.6234e-06
0.75,3.4955e-06
0.8,4.3893e-06
0.85,5.2944e-06
0.9,6.2032e-06
0.95,7.1104e-06
1.0,8.012e-06
1.5,1.6361e-05
2.0,2.3334e-05
2.5,2.9172e-05
3.0,3.4145e-05
3.5,3.8454e-05
4.0,4.2244e-05
4.5,4.5617e-05
5.0,4.865e-05
5.5,5.1401e-05
6.0,5.3914e-05
6.5,5.6224e-05
7.0,5.8359e-05
7.5,6.0342e-05
8.0,6.2191e-05
8.5,6.3921e-05
9.0,6.5546e-05
9.5,6.7076e-05
10.0,6.8521e-05
15.0,7.9618e-05
20.0,8.6986e-05
25.0,9.2275e-05
30.0,9.6237e-05
35.0,9.928e-05
40.0,0.00010166
45.0,0.00010353
50.0,0.00010503
55.0,0.00010622
60.0,0.00010718
65.0,0.00010796
70.0,0.00010858
75.0,0.00010909
80.0,0.0001095
85.0,0.00010984
90.0,0.00011011
95.0,0.00011033
100.0,0.00011052
