energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.0
0.0002,0.0
0.00025,0.0
0.0003,0.0
0.00035,0.0
0.0004,0.0
0.00045,0.18319
0.0005,0.36596
0.00055,0.54566
0.0006,0.81619
0.00065,1.047
0.0007,1.2456
0.00075,1.4174
0.0008,1.567
0.00085,1.6977
0.0009,1.8125
0.00095,1.9137
0.001,2.003
0.0015,2.4955
0.002,2.6399
0.0025,2.6554
0.003,2.6164
0.0035,2.5538
0.004,2.4814
0.0045,2.4062
0.005,2.3314
0.0055,2.2589
0.006,2.1895
0.0065,2.1234
0.007,2.0608
0.0075,2.0016
0.008,1.9456
0.0085,1.8928
0.009,1.8428
0.0095,1.7955
0.01,1.7507
0.015,1.4074
0.02,1.1844
0.025,1.0273
0.03,0.90998
0.035,0.81874
0.04,0.74552
0.045,0.68532
0.05,0.63486
0.055,0.59189
0.06,0.55481
0.065,0.52245
0.07,0.49394
0.075,0.46861
0.08,0.44594
0.085,0.42553
0.09,0.40703
0.095,0.3902
0.1,0.37479
0.15,0.27023
0.2,0.21273
0.25,0.1767
0.3,0.15183
0.35,0.13352
0.4,0.11915
0.45,0.10771
0.5,0.098149
0.55,0.090211
0.6,0.083508
0.65,0.077769
0.7,0.072795
0.75,0.068443
0.8,0.064599
0.85,0.06118
0.9,0.058116
0.95,0.055356
1.0,0.052854
1.5,0.036585
2.0,0.02811
2.5,0.022883
3.0,0.019341
3.5,0.016893
4.0,0.015166
4.5,0.013866
5.0,0.012839
5.5,0.012002
6.0,0.011307
6.5,0.01072
7.0,0.010218
7.5,0.0097864
8.0,0.0094116
8.5,0.0090844
9.0,0.0087973
9.5,0.0085441
10.0,0.0083198
15.0,0.0069881
20.0,0.0063088
25.0,0.0058152
30.0,0.0054263
35.0,0.0051198
40.0,0.0048777
45.0,0.004683
50.0,0.0045216
55.0,0.0043829
60.0,0.0042594
65.0,0.0041461
70.0,0.0040397
75.0,0.0039385
80.0,0.0038413
85.0,0.0037478
90.0,0.0036577
95.0,0.0035712
100.0,0.0034884
150.0,0.0028703
200.0,0.0025588
250.0,0.0024067
300.0,0.0023224
350.0,0.0022658
400.0,0.0022231
450.0,0.0021909
500.0,0.0021687
550.0,0.0021554
600.0,0.0021485
650.0,0.0021449
700.0,0.0021411
750.0,0.0021341
800.0,0.0021228
850.0,0.0021077
900.0,0.0020922
950.0,0.0020822
1000.0,0.0020868
