energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,1.3201e-06
0.25,3.1231e-06
0.3,4.3885e-06
0.35,5.3776e-06
0.4,6.4105e-06
0.45,7.5367e-06
0.5,8.8835e-06
0.55,1.0192e-05
0.6,1.1457e-05
0.65,1.2682e-05
0.7,1.3867e-05
0.75,1.5016e-05
0.8,1.613e-05
0.85,1.7211e-05
0.9,1.8259e-05
0.95,1.9277e-05
1.0,2.0267e-05
1.5,2.8834e-05
2.0,3.5612e-05
2.5,4.118e-05
3.0,4.5884e-05
3.5,4.9941e-05
4.0,5.3498e-05
4.5,5.6658e-05
5.0,5.9494e-05
5.5,6.2063e-05
6.0,6.4406e-05
6.5,6.6557e-05
7.0,6.8542e-05
7.5,7.0382e-05
8.0,7.2096e-05
8.5,7.3698e-05
9.0,7.5199e-05
9.5,7.661e-05
10.0,7.794e-05
15.0,8.8057e-05
20.0,9.4636e-05
25.0,9.9258e-05
30.0,0.00010265
35.0,0.00010521
40.0,0.00010718
45.0,0.00010871
50.0,0.00010991
55.0,0.00011087
60.0,0.00011163
65.0,0.00011223
70.0,0.00011272
75.0,0.00011311
80.0,0.00011343
85.0,0.00011369
90.0,0.00011389
95.0,0.00011406
100.0,0.0001142
