energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.79387
0.0002,1.8667
0.00025,2.5213
0.0003,2.9696
0.00035,3.3799
0.0004,3.7402
0.00045,4.0414
0.0005,4.2697
0.00055,4.444
0.0006,4.5774
0.00065,4.6792
0.0007,4.7563
0.00075,4.8138
0.0008,4.8557
0.00085,4.885
0.0009,4.9039
0.00095,4.9145
0.001,4.9181
0.0015,4.7563
0.002,4.4806
0.0025,4.2046
0.003,3.9521
0.0035,3.7264
0.004,3.5256
0.0045,3.3466
0.005,3.1863
0.0055,3.0422
0.006,2.9119
0.0065,2.7934
0.007,2.6853
0.0075,2.5863
0.008,2.495
0.0085,2.4108
0.009,2.3327
0.0095,2.2601
0.01,2.1924
0.015,1.7012
0.02,1.4028
0.025,1.2001
0.03,1.0523
0.035,0.93936
0.04,0.84988
0.045,0.77708
0.05,0.71656
0.055,0.6648
0.06,0.62042
0.065,0.58204
0.07,0.5485
0.075,0.51891
0.08,0.49259
0.085,0.46901
0.09,0.44776
0.095,0.42849
0.1,0.41094
0.15,0.29428
0.2,0.22968
0.25,0.18919
0.3,0.16139
0.35,0.14105
0.4,0.12549
0.45,0.11315
0.5,0.10296
0.55,0.094394
0.6,0.087176
0.65,0.081011
0.7,0.075682
0.75,0.071029
0.8,0.066928
0.85,0.063287
0.9,0.060031
0.95,0.057101
1.0,0.054451
1.5,0.03733
2.0,0.028506
2.5,0.023103
3.0,0.019451
3.5,0.016855
4.0,0.015123
4.5,0.013809
5.0,0.012697
5.5,0.011786
6.0,0.011043
6.5,0.01043
7.0,0.0099158
7.5,0.0094755
8.0,0.0090909
8.5,0.0087494
9.0,0.0084421
9.5,0.0081636
10.0,0.0079102
15.0,0.0063285
20.0,0.0056206
25.0,0.0051899
30.0,0.0048561
35.0,0.0045712
40.0,0.0043248
45.0,0.0041137
50.0,0.0039335
55.0,0.0037788
60.0,0.0036442
65.0,0.003525
70.0,0.0034176
75.0,0.0033193
80.0,0.0032281
85.0,0.0031429
90.0,0.0030627
95.0,0.0029869
100.0,0.0029153
150.0,0.0023888
200.0,0.0021189
250.0,0.0019853
300.0,0.0019135
350.0,0.0018691
400.0,0.0018389
450.0,0.0018188
500.0,0.0018071
550.0,0.0018023
600.0,0.0018021
650.0,0.0018035
700.0,0.0018037
750.0,0.0018003
800.0,0.0017922
850.0,0.0017803
900.0,0.0017674
950.0,0.0017591
1000.0,0.0017633
