energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,3.7002e-06
0.065,9.5986e-06
0.07,1.4355e-05
0.075,1.8244e-05
0.08,2.1461e-05
0.085,2.415e-05
0.09,2.642e-05
0.095,2.8352e-05
0.1,3.0009e-05
0.15,3.8673e-05
0.2,4.1937e-05
0.25,4.3774e-05
0.3,4.5137e-05
0.35,4.6321e-05
0.4,4.7432e-05
0.45,4.8509e-05
0.5,4.9567e-05
0.55,5.0611e-05
0.6,5.1642e-05
0.65,5.2659e-05
0.7,5.3662e-05
0.75,5.4649e-05
0.8,5.562e-05
0.85,5.6575e-05
0.9,5.7512e-05
0.95,5.8431e-05
1.0,5.9333e-05
1.5,6.7435e-05
2.0,7.4121e-05
2.5,7.9744e-05
3.0,8.4566e-05
3.5,8.8771e-05
4.0,9.2487e-05
4.5,9.5809e-05
5.0,9.8808e-05
5.5,0.00010154
6.0,0.00010403
6.5,0.00010634
7.0,0.00010847
7.5,0.00011045
8.0,0.0001123
8.5,0.00011404
9.0,0.00011567
9.5,0.00011721
10.0,0.00011866
15.0,0.00012984
20.0,0.00013727
25.0,0.00014259
30.0,0.00014658
35.0,0.00014964
40.0,0.00015203
45.0,0.00015391
50.0,0.00015542
55.0,0.00015663
60.0,0.0001576
65.0,0.0001584
70.0,0.00015905
75.0,0.00015958
80.0,0.00016001
85.0,0.00016037
90.0,0.00016067
95.0,0.00016092
100.0,0.00016112
