energy_MeV,niel_MeV_cm2_g
0.0001,4.7542
0.00015,6.1683
0.0002,6.9827
0.00025,7.4945
0.0003,7.8298
0.00035,8.0525
0.0004,8.1995
0.00045,8.2931
0.0005,8.3483
0.00055,8.3749
0.0006,8.3801
0.00065,8.3689
0.0007,8.3452
0.00075,8.3118
0.0008,8.2708
0.00085,8.224
0.0009,8.1727
0.00095,8.1179
0.001,8.0604
0.0015,7.4385
0.002,6.8534
0.0025,6.3457
0.003,5.9099
0.0035,5.5344
0.004,5.2081
0.0045,4.9222
0.005,4.6695
0.0055,4.4444
0.006,4.2426
0.0065,4.0605
0.007,3.8952
0.0075,3.7444
0.008,3.6063
0.0085,3.4792
0.009,3.3618
0.0095,3.2529
0.01,3.1518
0.015,2.4253
0.02,1.99
0.025,1.6967
0.03,1.4842
0.035,1.3224
0.04,1.1946
0.045,1.0909
0.05,1.0049
0.055,0.93228
0.06,0.8701
0.065,0.81621
0.07,0.769
0.075,0.72727
0.08,0.69011
0.085,0.65678
0.09,0.6267
0.095,0.59941
0.1,0.57462
0.15,0.41184
0.2,0.32516
0.25,0.2707
0.3,0.23252
0.35,0.20202
0.4,0.17876
0.45,0.16042
0.5,0.14558
0.55,0.1333
0.6,0.12298
0.65,0.11417
0.7,0.10657
0.75,0.099935
0.8,0.094094
0.85,0.088912
0.9,0.084281
0.95,0.080117
1.0,0.076353
1.5,0.052092
2.0,0.039635
2.5,0.03203
3.0,0.026906
3.5,0.023306
4.0,0.020755
4.5,0.018862
5.0,0.017371
5.5,0.016147
6.0,0.015124
6.5,0.014257
7.0,0.013517
7.5,0.012882
8.0,0.012331
8.5,0.011852
9.0,0.01143
9.5,0.011057
10.0,0.010723
15.0,0.0086072
20.0,0.0074291
25.0,0.0066298
30.0,0.0060475
35.0,0.0056017
40.0,0.0052446
45.0,0.0049471
50.0,0.004691
55.0,0.0044652
60.0,0.0042622
65.0,0.0040777
70.0,0.0039084
75.0,0.0037523
80.0,0.0036078
85.0,0.0034739
90.0,0.0033496
95.0,0.0032341
100.0,0.0031268
150.0,0.0023882
200.0,0.0020155
250.0,0.0018143
300.0,0.0016976
350.0,0.0016248
400.0,0.0015762
450.0,0.0015416
500.0,0.0015159
550.0,0.0014965
600.0,0.0014816
650.0,0.0014703
700.0,0.0014615
750.0,0.0014543
800.0,0.0014476
850.0,0.00144
900.0,0.00143
950.0,0.0014162
1000.0,0.0013968
1500.0,0.0014248
2000.0,0.0013985
2500.0,0.0013611
3000.0,0.0013248
3500.0,0.001293
4000.0,0.0012663
4500.0,0.0012443
5000.0,0.0012263
5500.0,0.0012118
6000.0,0.0012001
6500.0,0.0011908
7000.0,0.0011835
7500.0,0.0011777
8000.0,0.0011732
8500.0,0.0011699
9000.0,0.0011674
9500.0,0.0011656
10000.0,0.0011644
