energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,1.5312e-06
0.05,9.934e-06
0.055,1.5894e-05
0.06,2.0285e-05
0.065,2.3616e-05
0.07,2.6199e-05
0.075,2.8239e-05
0.08,2.9874e-05
0.085,3.1201e-05
0.09,3.229e-05
0.095,3.3192e-05
0.1,3.3947e-05
0.15,3.774e-05
0.2,3.9405e-05
0.25,4.0969e-05
0.3,4.2652e-05
0.35,4.4043e-05
0.4,4.5276e-05
0.45,4.6411e-05
0.5,4.748e-05
0.55,4.8502e-05
0.6,4.9485e-05
0.65,5.0435e-05
0.7,5.1355e-05
0.75,5.2248e-05
0.8,5.3116e-05
0.85,5.3961e-05
0.9,5.4783e-05
0.95,5.5583e-05
1.0,5.6362e-05
1.5,6.3192e-05
2.0,6.8678e-05
2.5,7.3225e-05
3.0,7.7089e-05
3.5,8.0434e-05
4.0,8.3376e-05
4.5,8.5993e-05
5.0,8.8345e-05
5.5,9.0475e-05
6.0,9.2418e-05
6.5,9.4201e-05
7.0,9.5844e-05
7.5,9.7366e-05
8.0,9.878e-05
8.5,0.0001001
9.0,0.00010133
9.5,0.00010249
10.0,0.00010357
15.0,0.00011164
20.0,0.00011654
25.0,0.00011964
30.0,0.0001216
35.0,0.0001228
40.0,0.00012349
45.0,0.00012383
50.0,0.00012393
55.0,0.00012388
60.0,0.00012372
65.0,0.0001235
70.0,0.00012325
75.0,0.00012297
80.0,0.00012268
85.0,0.0001224
90.0,0.00012212
95.0,0.00012185
100.0,0.0001216
