energy_MeV,niel_MeV_cm2_g
0.0001,0.2337
0.00015,0.69063
0.0002,1.1824
0.00025,1.5016
0.0003,1.7171
0.00035,1.8685
0.0004,1.9775
0.00045,2.0573
0.0005,2.1163
0.00055,2.16
0.0006,2.1921
0.00065,2.2155
0.0007,2.2321
0.00075,2.2433
0.0008,2.2504
0.00085,2.2541
0.0009,2.255
0.00095,2.2538
0.001,2.2508
0.0015,2.1727
0.002,2.0711
0.0025,1.9737
0.003,1.8854
0.0035,1.8063
0.004,1.7352
0.0045,1.6711
0.005,1.6129
0.0055,1.5599
0.006,1.5113
0.0065,1.4665
0.007,1.425
0.0075,1.3865
0.008,1.3507
0.0085,1.3171
0.009,1.2856
0.0095,1.256
0.01,1.228
0.015,1.015
0.02,0.87482
0.025,0.7738
0.03,0.69674
0.035,0.6356
0.04,0.58567
0.045,0.54397
0.05,0.50844
0.055,0.47769
0.06,0.45088
0.065,0.4273
0.07,0.40638
0.075,0.38766
0.08,0.3708
0.085,0.35552
0.09,0.3416
0.095,0.32885
0.1,0.31713
0.15,0.23633
0.2,0.18997
0.25,0.15974
0.3,0.13839
0.35,0.12246
0.4,0.11007
0.45,0.10013
0.5,0.091955
0.55,0.085111
0.6,0.079421
0.65,0.074556
0.7,0.070319
0.75,0.066592
0.8,0.063257
0.85,0.060199
0.9,0.057451
0.95,0.054967
1.0,0.05271
1.5,0.037841
2.0,0.029552
2.5,0.024207
3.0,0.020544
3.5,0.017876
4.0,0.0159
4.5,0.014336
5.0,0.013042
5.5,0.011979
6.0,0.011103
6.5,0.010366
7.0,0.0097342
7.5,0.0091834
8.0,0.0086979
8.5,0.0082658
9.0,0.0078783
9.5,0.0075289
10.0,0.0072121
15.0,0.0051921
20.0,0.0042181
25.0,0.0036572
30.0,0.0032815
35.0,0.0029989
40.0,0.0027722
45.0,0.0025852
50.0,0.0024293
55.0,0.0022986
60.0,0.0021885
65.0,0.0020954
70.0,0.0020162
75.0,0.0019482
80.0,0.0018895
85.0,0.0018383
90.0,0.0017933
95.0,0.0017533
100.0,0.0017174
150.0,0.0014791
200.0,0.0013393
250.0,0.0012573
300.0,0.0012183
350.0,0.0012083
400.0,0.0012154
450.0,0.0012308
500.0,0.001249
550.0,0.0012666
600.0,0.0012823
650.0,0.0012958
700.0,0.0013071
750.0,0.0013166
800.0,0.0013242
850.0,0.0013295
900.0,0.0013318
950.0,0.0013299
1000.0,0.0013224
