energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,9.7949e-07
0.35,1.9013e-06
0.4,2.6945e-06
0.45,3.401e-06
0.5,4.0449e-06
0.55,4.7873e-06
0.6,5.8834e-06
0.65,7.0227e-06
0.7,8.1808e-06
0.75,9.3418e-06
0.8,1.0495e-05
0.85,1.1634e-05
0.9,1.2754e-05
0.95,1.3851e-05
1.0,1.4925e-05
1.5,2.432e-05
2.0,3.1694e-05
2.5,3.7669e-05
3.0,4.266e-05
3.5,4.6929e-05
4.0,5.0648e-05
4.5,5.3935e-05
5.0,5.6876e-05
5.5,5.953e-05
6.0,6.1947e-05
6.5,6.4162e-05
7.0,6.6204e-05
7.5,6.8095e-05
8.0,6.9855e-05
8.5,7.1498e-05
9.0,7.3039e-05
9.5,7.4487e-05
10.0,7.5852e-05
15.0,8.6248e-05
20.0,9.3027e-05
25.0,9.779e-05
30.0,0.00010126
35.0,0.00010385
40.0,0.0001058
45.0,0.00010728
50.0,0.0001084
55.0,0.00010925
60.0,0.00010989
65.0,0.00011038
70.0,0.00011074
75.0,0.00011101
80.0,0.0001112
85.0,0.00011133
90.0,0.00011142
95.0,0.00011148
100.0,0.00011151
