energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.0
0.0002,0.13191
0.00025,0.48918
0.0003,0.74624
0.00035,0.93873
0.0004,1.0869
0.00045,1.2117
0.0005,1.3725
0.00055,1.5185
0.0006,1.6413
0.00065,1.7454
0.0007,1.8343
0.00075,1.9106
0.0008,1.9763
0.00085,2.0332
0.0009,2.0826
0.00095,2.1255
0.001,2.1629
0.0015,2.3481
0.002,2.3718
0.0025,2.3377
0.003,2.2811
0.0035,2.2163
0.004,2.1494
0.0045,2.0836
0.005,2.0201
0.0055,1.9596
0.006,1.9022
0.0065,1.848
0.007,1.7968
0.0075,1.7484
0.008,1.7028
0.0085,1.6596
0.009,1.6188
0.0095,1.5802
0.01,1.5435
0.015,1.2598
0.02,1.0722
0.025,0.93787
0.03,0.83639
0.035,0.75667
0.04,0.69216
0.045,0.63876
0.05,0.59373
0.055,0.55517
0.06,0.52175
0.065,0.49247
0.07,0.46658
0.075,0.4435
0.08,0.42278
0.085,0.40407
0.09,0.38708
0.095,0.37158
0.1,0.35737
0.15,0.26043
0.2,0.20697
0.25,0.1728
0.3,0.14889
0.35,0.13111
0.4,0.11708
0.45,0.10594
0.5,0.096863
0.55,0.089318
0.6,0.082939
0.65,0.077469
0.7,0.072724
0.75,0.068565
0.8,0.064866
0.85,0.061514
0.9,0.05851
0.95,0.055771
1.0,0.05326
1.5,0.03693
2.0,0.028425
2.5,0.023177
3.0,0.019613
3.5,0.017093
4.0,0.015235
4.5,0.013781
5.0,0.012608
5.5,0.011655
6.0,0.010883
6.5,0.010242
7.0,0.0096923
7.5,0.009214
8.0,0.0087944
8.5,0.0084248
9.0,0.0080981
9.5,0.0078083
10.0,0.0075501
15.0,0.0060011
20.0,0.0052848
25.0,0.0048654
30.0,0.0045804
35.0,0.0043649
40.0,0.0041902
45.0,0.0040436
50.0,0.0039186
55.0,0.0038112
60.0,0.0037185
65.0,0.0036382
70.0,0.0035682
75.0,0.0035068
80.0,0.0034524
85.0,0.0034039
90.0,0.0033602
95.0,0.0033205
100.0,0.003284
150.0,0.0030141
200.0,0.0028361
250.0,0.0027399
300.0,0.0027144
350.0,0.0027374
400.0,0.0027878
450.0,0.0028498
500.0,0.002913
550.0,0.0029718
600.0,0.0030238
650.0,0.0030687
700.0,0.0031071
750.0,0.0031397
800.0,0.0031665
850.0,0.0031866
900.0,0.0031985
950.0,0.0031997
1000.0,0.0031873
