energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,1.3381e-08
0.055,9.1415e-08
0.06,1.5148e-07
0.065,1.9855e-07
0.07,2.36e-07
0.075,2.6618e-07
0.08,2.9078e-07
0.085,3.1104e-07
0.09,3.2787e-07
0.095,3.4197e-07
0.1,3.5386e-07
0.15,4.1129e-07
0.2,4.2951e-07
0.25,1.7286e-06
0.3,3.3418e-06
0.35,4.6705e-06
0.4,5.9656e-06
0.45,7.4756e-06
0.5,8.9054e-06
0.55,1.0258e-05
0.6,1.1539e-05
0.65,1.2958e-05
0.7,1.4401e-05
0.75,1.5827e-05
0.8,1.7221e-05
0.85,1.8575e-05
0.9,1.9885e-05
0.95,2.1151e-05
1.0,2.2371e-05
1.5,3.2424e-05
2.0,3.9749e-05
2.5,4.5447e-05
3.0,5.0087e-05
3.5,5.3991e-05
4.0,5.7352e-05
4.5,6.0296e-05
5.0,6.2912e-05
5.5,6.5261e-05
6.0,6.7389e-05
6.5,6.9331e-05
7.0,7.1116e-05
7.5,7.2763e-05
8.0,7.4291e-05
8.5,7.5714e-05
9.0,7.7044e-05
9.5,7.829e-05
10.0,7.9462e-05
15.0,8.8243e-05
20.0,9.3753e-05
25.0,9.7429e-05
30.0,9.9938e-05
35.0,0.00010166
40.0,0.00010282
45.0,0.00010358
50.0,0.00010407
55.0,0.00010435
60.0,0.00010448
65.0,0.00010451
70.0,0.00010447
75.0,0.00010438
80.0,0.00010426
85.0,0.00010411
90.0,0.00010395
95.0,0.00010379
100.0,0.00010362
