energy_MeV,niel_MeV_cm2_g
0.0001,0.10191
0.00015,0.13604
0.0002,0.31531
0.00025,0.44223
0.0003,0.54316
0.00035,0.64861
0.0004,0.73406
0.00045,0.80473
0.0005,0.86411
0.00055,0.91813
0.0006,0.96955
0.00065,1.0143
0.0007,1.0536
0.00075,1.0882
0.0008,1.119
0.00085,1.1463
0.0009,1.1707
0.00095,1.1926
0.001,1.2123
0.0015,1.3294
0.002,1.3708
0.0025,1.3794
0.003,1.3718
0.0035,1.3556
0.004,1.3349
0.0045,1.3118
0.005,1.2875
0.0055,1.263
0.006,1.2386
0.0065,1.2145
0.007,1.1911
0.0075,1.1683
0.008,1.1462
0.0085,1.1248
0.009,1.1043
0.0095,1.0844
0.01,1.0652
0.015,0.90736
0.02,0.79393
0.025,0.70848
0.03,0.64155
0.035,0.58753
0.04,0.54287
0.045,0.50525
0.05,0.47307
0.055,0.44516
0.06,0.42072
0.065,0.39909
0.07,0.37982
0.075,0.36251
0.08,0.34687
0.085,0.33266
0.09,0.31968
0.095,0.30777
0.1,0.29681
0.15,0.22092
0.2,0.1776
0.25,0.14933
0.3,0.12946
0.35,0.11464
0.4,0.10313
0.45,0.093933
0.5,0.086389
0.55,0.08008
0.6,0.074723
0.65,0.070113
0.7,0.066099
0.75,0.062428
0.8,0.059105
0.85,0.056142
0.9,0.053483
0.95,0.051083
1.0,0.048904
1.5,0.034372
2.0,0.026588
2.5,0.021735
3.0,0.018426
3.5,0.016019
4.0,0.014191
4.5,0.012751
5.0,0.011591
5.5,0.010656
6.0,0.0098895
6.5,0.0092396
7.0,0.008677
7.5,0.0081855
8.0,0.0077541
8.5,0.0073737
9.0,0.0070366
9.5,0.0067364
10.0,0.0064679
15.0,0.0048106
20.0,0.0040151
25.0,0.0035556
30.0,0.0032538
35.0,0.0030328
40.0,0.0028586
45.0,0.0027157
50.0,0.0025965
55.0,0.0024964
60.0,0.0024122
65.0,0.0023413
70.0,0.0022814
75.0,0.0022306
80.0,0.0021872
85.0,0.0021499
90.0,0.0021175
95.0,0.002089
100.0,0.0020636
150.0,0.0018881
200.0,0.0017678
250.0,0.0016941
300.0,0.0016643
350.0,0.0016661
400.0,0.0016865
450.0,0.0017155
500.0,0.0017463
550.0,0.0017752
600.0,0.0018005
650.0,0.0018219
700.0,0.0018394
750.0,0.0018534
800.0,0.0018639
850.0,0.0018708
900.0,0.0018734
950.0,0.0018709
1000.0,0.0018625
