energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,3.0417e-06
0.2,4.4362e-06
0.25,5.2633e-06
0.3,6.6822e-06
0.35,7.9773e-06
0.4,9.1119e-06
0.45,1.013e-05
0.5,1.1059e-05
0.55,1.1916e-05
0.6,1.2713e-05
0.65,1.346e-05
0.7,1.4164e-05
0.75,1.4829e-05
0.8,1.5461e-05
0.85,1.6159e-05
0.9,1.6882e-05
0.95,1.7612e-05
1.0,1.8341e-05
1.5,2.5134e-05
2.0,3.1087e-05
2.5,3.6922e-05
3.0,4.2061e-05
3.5,4.6497e-05
4.0,5.0344e-05
4.5,5.3715e-05
5.0,5.67e-05
5.5,5.937e-05
6.0,6.1778e-05
6.5,6.3966e-05
7.0,6.5968e-05
7.5,6.7809e-05
8.0,6.9511e-05
8.5,7.1091e-05
9.0,7.2563e-05
9.5,7.394e-05
10.0,7.523e-05
15.0,8.4835e-05
20.0,9.0823e-05
25.0,9.4826e-05
30.0,9.7577e-05
35.0,9.9484e-05
40.0,0.0001008
45.0,0.00010169
50.0,0.00010229
55.0,0.00010266
60.0,0.00010288
65.0,0.00010298
70.0,0.000103
75.0,0.00010296
80.0,0.00010289
85.0,0.00010279
90.0,0.00010267
95.0,0.00010253
100.0,0.0001024
