energy_MeV,niel_MeV_cm2_g
0.0001,0.40838
0.00015,0.72956
0.0002,0.9432
0.00025,1.1074
0.0003,1.2249
0.00035,1.3121
0.0004,1.3783
0.00045,1.4293
0.0005,1.4689
0.00055,1.4999
0.0006,1.5242
0.00065,1.5431
0.0007,1.5577
0.00075,1.5687
0.0008,1.5769
0.00085,1.6028
0.0009,1.6257
0.00095,1.6454
0.001,1.6622
0.0015,1.7343
0.002,1.7255
0.0025,1.6891
0.003,1.6569
0.0035,1.6193
0.004,1.5793
0.0045,1.5391
0.005,1.4997
0.0055,1.4616
0.006,1.4251
0.0065,1.3902
0.007,1.357
0.0075,1.3254
0.008,1.2953
0.0085,1.2666
0.009,1.2394
0.0095,1.2134
0.01,1.1886
0.015,0.99205
0.02,0.85743
0.025,0.75872
0.03,0.68276
0.035,0.62224
0.04,0.57269
0.045,0.53127
0.05,0.49605
0.055,0.46569
0.06,0.4392
0.065,0.41586
0.07,0.39512
0.075,0.37655
0.08,0.35982
0.085,0.34465
0.09,0.33083
0.095,0.31817
0.1,0.30654
0.15,0.22667
0.2,0.18185
0.25,0.15282
0.3,0.13231
0.35,0.11691
0.4,0.10466
0.45,0.094933
0.5,0.086983
0.55,0.080356
0.6,0.07474
0.65,0.069907
0.7,0.065705
0.75,0.06202
0.8,0.058759
0.85,0.055851
0.9,0.0532
0.95,0.050793
1.0,0.048609
1.5,0.034033
2.0,0.026301
2.5,0.021489
3.0,0.018212
3.5,0.01587
4.0,0.014122
4.5,0.01275
5.0,0.01164
5.5,0.010728
6.0,0.009972
6.5,0.0093374
7.0,0.0087935
7.5,0.0083197
8.0,0.0079029
8.5,0.0075338
9.0,0.0072053
9.5,0.0069115
10.0,0.0066474
15.0,0.0049994
20.0,0.0041915
25.0,0.0037035
30.0,0.0033708
35.0,0.0031255
40.0,0.0029348
45.0,0.0027812
50.0,0.0026546
55.0,0.0025485
60.0,0.0024582
65.0,0.0023806
70.0,0.0023132
75.0,0.0022541
80.0,0.0022018
85.0,0.0021552
90.0,0.0021132
95.0,0.0020752
100.0,0.0020405
150.0,0.0018004
200.0,0.001661
250.0,0.001585
300.0,0.0015557
350.0,0.001557
400.0,0.0015759
450.0,0.0016029
500.0,0.0016318
550.0,0.0016594
600.0,0.0016841
650.0,0.0017059
700.0,0.0017253
750.0,0.0017424
800.0,0.0017573
850.0,0.0017692
900.0,0.0017766
950.0,0.0017774
1000.0,0.001769
