energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,8.8676e-07
0.3,2.6649e-06
0.35,4.2315e-06
0.4,5.595e-06
0.45,6.8098e-06
0.5,7.9101e-06
0.55,8.919e-06
0.6,9.8526e-06
0.65,1.0723e-05
0.7,1.1538e-05
0.75,1.2306e-05
0.8,1.3033e-05
0.85,1.3768e-05
0.9,1.4495e-05
0.95,1.5206e-05
1.0,1.5901e-05
1.5,2.1959e-05
2.0,2.7231e-05
2.5,3.2859e-05
3.0,3.7914e-05
3.5,4.2288e-05
4.0,4.6074e-05
4.5,4.9378e-05
5.0,5.2293e-05
5.5,5.489e-05
6.0,5.7224e-05
6.5,5.9338e-05
7.0,6.1266e-05
7.5,6.3035e-05
8.0,6.4666e-05
8.5,6.6177e-05
9.0,6.7582e-05
9.5,6.8893e-05
10.0,7.0121e-05
15.0,7.9179e-05
20.0,8.4743e-05
25.0,8.8396e-05
30.0,9.085e-05
35.0,9.25e-05
40.0,9.359e-05
45.0,9.4287e-05
50.0,9.4705e-05
55.0,9.4925e-05
60.0,9.5006e-05
65.0,9.499e-05
70.0,9.4907e-05
75.0,9.478e-05
80.0,9.4624e-05
85.0,9.4449e-05
90.0,9.4266e-05
95.0,9.4078e-05
100.0,9.389e-05
