energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.0042276
0.0002,0.15228
0.00025,0.27444
0.0003,0.36805
0.00035,0.44252
0.0004,0.50336
0.00045,0.55404
0.0005,0.5969
0.00055,0.63358
0.0006,0.66528
0.00065,0.6929
0.0007,0.7171
0.00075,0.73843
0.0008,0.75732
0.00085,0.78366
0.0009,0.80771
0.00095,0.82939
0.001,0.849
0.0015,0.96993
0.002,1.0185
0.0025,1.0351
0.003,1.0553
0.0035,1.063
0.004,1.0621
0.0045,1.0557
0.005,1.0459
0.0055,1.034
0.006,1.0206
0.0065,1.0065
0.007,0.9919
0.0075,0.97713
0.008,0.96236
0.0085,0.9477
0.009,0.93324
0.0095,0.91904
0.01,0.90514
0.015,0.78447
0.02,0.69308
0.025,0.62242
0.03,0.56619
0.035,0.52032
0.04,0.4821
0.045,0.4497
0.05,0.42185
0.055,0.39762
0.06,0.37631
0.065,0.35741
0.07,0.34051
0.075,0.32531
0.08,0.31154
0.085,0.29901
0.09,0.28755
0.095,0.27703
0.1,0.26732
0.15,0.19981
0.2,0.16109
0.25,0.1357
0.3,0.11775
0.35,0.10431
0.4,0.093884
0.45,0.08555
0.5,0.078711
0.55,0.072986
0.6,0.068116
0.65,0.063906
0.7,0.060234
0.75,0.056958
0.8,0.053956
0.85,0.051279
0.9,0.048856
0.95,0.046662
1.0,0.04467
1.5,0.031414
2.0,0.024366
2.5,0.019953
3.0,0.016938
3.5,0.014742
4.0,0.013069
4.5,0.011763
5.0,0.010725
5.5,0.0098684
6.0,0.0091497
6.5,0.0085417
7.0,0.0080216
7.5,0.0075722
8.0,0.0071805
8.5,0.0068369
9.0,0.0065331
9.5,0.0062629
10.0,0.0060208
15.0,0.0045119
20.0,0.0038024
25.0,0.0034082
30.0,0.003148
35.0,0.0029513
40.0,0.0027925
45.0,0.0026621
50.0,0.0025553
55.0,0.0024682
60.0,0.0023976
65.0,0.0023401
70.0,0.0022932
75.0,0.0022544
80.0,0.0022218
85.0,0.0021938
90.0,0.0021692
95.0,0.002147
100.0,0.0021265
150.0,0.0019602
200.0,0.0018505
250.0,0.0018036
300.0,0.0017987
350.0,0.0018135
400.0,0.0018358
450.0,0.0018615
500.0,0.0018904
550.0,0.0019229
600.0,0.0019587
650.0,0.0019962
700.0,0.002032
750.0,0.0020625
800.0,0.0020842
850.0,0.0020951
900.0,0.0020958
950.0,0.0020903
1000.0,0.0020863
