energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,9.6896e-07
0.25,2.2923e-06
0.3,3.2211e-06
0.35,3.9471e-06
0.4,4.5551e-06
0.45,5.088e-06
0.5,5.7895e-06
0.55,6.4703e-06
0.6,7.128e-06
0.65,7.7641e-06
0.7,8.3919e-06
0.75,9.2357e-06
0.8,1.0131e-05
0.85,1.1058e-05
0.9,1.2002e-05
0.95,1.2953e-05
1.0,1.3905e-05
1.5,2.2734e-05
2.0,2.9951e-05
2.5,3.5856e-05
3.0,4.0799e-05
3.5,4.5024e-05
4.0,4.8701e-05
4.5,5.1946e-05
5.0,5.4842e-05
5.5,5.7453e-05
6.0,5.9825e-05
6.5,6.1995e-05
7.0,6.3991e-05
7.5,6.5836e-05
8.0,6.7551e-05
8.5,6.9148e-05
9.0,7.0643e-05
9.5,7.2045e-05
10.0,7.3364e-05
15.0,8.331e-05
20.0,8.9664e-05
25.0,9.4035e-05
30.0,9.7157e-05
35.0,9.9435e-05
40.0,0.00010112
45.0,0.00010236
50.0,0.00010329
55.0,0.00010397
60.0,0.00010448
65.0,0.00010485
70.0,0.00010512
75.0,0.0001053
80.0,0.00010543
85.0,0.00010551
90.0,0.00010556
95.0,0.00010558
100.0,0.00010558
