energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.58269
0.0002,1.3702
0.00025,1.8506
0.0003,2.1609
0.00035,2.3678
0.0004,2.5574
0.00045,2.7178
0.0005,2.8354
0.00055,2.9216
0.0006,2.9843
0.00065,3.0291
0.0007,3.095
0.00075,3.147
0.0008,3.1874
0.00085,3.2184
0.0009,3.2417
0.00095,3.2587
0.001,3.2704
0.0015,3.2307
0.002,3.0898
0.0025,2.9353
0.003,2.788
0.0035,2.6531
0.004,2.5307
0.0045,2.42
0.005,2.3196
0.0055,2.2283
0.006,2.1449
0.0065,2.0684
0.007,1.998
0.0075,1.933
0.008,1.8727
0.0085,1.8167
0.009,1.7644
0.0095,1.7156
0.01,1.6697
0.015,1.3295
0.02,1.1154
0.025,0.96649
0.03,0.85597
0.035,0.77024
0.04,0.70155
0.045,0.64512
0.05,0.59782
0.055,0.55711
0.06,0.52198
0.065,0.49142
0.07,0.46458
0.075,0.44078
0.08,0.41952
0.085,0.40041
0.09,0.38311
0.095,0.36738
0.1,0.353
0.15,0.25629
0.2,0.20208
0.25,0.16756
0.3,0.14358
0.35,0.1259
0.4,0.11223
0.45,0.10139
0.5,0.092568
0.55,0.085144
0.6,0.078879
0.65,0.073519
0.7,0.068876
0.75,0.064815
0.8,0.06123
0.85,0.058041
0.9,0.055185
0.95,0.052611
1.0,0.05028
1.5,0.034784
2.0,0.026693
2.5,0.021719
3.0,0.018342
3.5,0.015912
4.0,0.014217
4.5,0.0129
5.0,0.011789
5.5,0.010875
6.0,0.010131
6.5,0.0095234
7.0,0.009014
7.5,0.0085744
8.0,0.0081867
8.5,0.0078402
9.0,0.007528
9.5,0.0072451
10.0,0.0069883
15.0,0.005404
20.0,0.0047325
25.0,0.0043708
30.0,0.0041187
35.0,0.0039122
40.0,0.0037344
45.0,0.0035815
50.0,0.0034512
55.0,0.0033411
60.0,0.0032482
65.0,0.0031695
70.0,0.0031022
75.0,0.0030443
80.0,0.0029937
85.0,0.002949
90.0,0.0029091
95.0,0.0028729
100.0,0.0028397
150.0,0.0025992
200.0,0.002453
250.0,0.002384
300.0,0.0023767
350.0,0.0024104
400.0,0.0024669
450.0,0.0025325
500.0,0.0025983
550.0,0.0026595
600.0,0.0027143
650.0,0.002763
700.0,0.0028064
750.0,0.0028453
800.0,0.0028794
850.0,0.0029076
900.0,0.0029272
950.0,0.0029342
1000.0,0.0029237
