energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,4.6837e-07
0.25,1.1854e-06
0.3,2.0162e-06
0.35,2.6859e-06
0.4,3.2567e-06
0.45,3.7613e-06
0.5,4.2185e-06
0.55,5.7765e-06
0.6,7.8207e-06
0.65,9.9786e-06
0.7,1.2149e-05
0.75,1.4277e-05
0.8,1.633e-05
0.85,1.8295e-05
0.9,2.0165e-05
0.95,2.1941e-05
1.0,2.3626e-05
1.5,3.6541e-05
2.0,4.5037e-05
2.5,5.1244e-05
3.0,5.6095e-05
3.5,6.0062e-05
4.0,6.3408e-05
4.5,6.6294e-05
5.0,6.8826e-05
5.5,7.1076e-05
6.0,7.3097e-05
6.5,7.4927e-05
7.0,7.6596e-05
7.5,7.8125e-05
8.0,7.9534e-05
8.5,8.0837e-05
9.0,8.2047e-05
9.5,8.3172e-05
10.0,8.4223e-05
15.0,9.1775e-05
20.0,9.6024e-05
25.0,9.843e-05
30.0,9.9697e-05
35.0,0.00010024
40.0,0.00010031
45.0,0.00010009
50.0,9.9704e-05
55.0,9.9219e-05
60.0,9.869e-05
65.0,9.8151e-05
70.0,9.7621e-05
75.0,9.7114e-05
80.0,9.6635e-05
85.0,9.6188e-05
90.0,9.5773e-05
95.0,9.5391e-05
100.0,9.5038e-05
