energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.28166
0.0002,0.69898
0.00025,0.97392
0.0003,1.1562
0.00035,1.2816
0.0004,1.3696
0.00045,1.45
0.0005,1.5201
0.00055,1.574
0.0006,1.6156
0.00065,1.6478
0.0007,1.6727
0.00075,1.6917
0.0008,1.706
0.00085,1.7166
0.0009,1.7241
0.00095,1.7291
0.001,1.732
0.0015,1.701
0.002,1.6334
0.0025,1.563
0.003,1.497
0.0035,1.437
0.004,1.3826
0.0045,1.3333
0.005,1.2885
0.0055,1.2476
0.006,1.21
0.0065,1.1754
0.007,1.1434
0.0075,1.1136
0.008,1.0858
0.0085,1.0598
0.009,1.0353
0.0095,1.0124
0.01,0.99071
0.015,0.82493
0.02,0.71512
0.025,0.63545
0.03,0.5743
0.035,0.52551
0.04,0.48549
0.045,0.45192
0.05,0.42329
0.055,0.39831
0.06,0.37645
0.065,0.35719
0.07,0.34007
0.075,0.32472
0.08,0.31087
0.085,0.2983
0.09,0.28684
0.095,0.27633
0.1,0.26665
0.15,0.19967
0.2,0.16088
0.25,0.13546
0.3,0.11744
0.35,0.10394
0.4,0.093403
0.45,0.084937
0.5,0.077971
0.55,0.072131
0.6,0.067157
0.65,0.062867
0.7,0.059111
0.75,0.05581
0.8,0.052888
0.85,0.050283
0.9,0.047944
0.95,0.045831
1.0,0.043913
1.5,0.031315
2.0,0.024637
2.5,0.020153
3.0,0.01708
3.5,0.014851
4.0,0.013215
4.5,0.011931
5.0,0.010871
5.5,0.0099946
6.0,0.009264
6.5,0.0086477
7.0,0.008121
7.5,0.0076644
8.0,0.0072633
8.5,0.0069068
9.0,0.0065869
9.5,0.0062975
10.0,0.0060344
15.0,0.0043296
20.0,0.0034919
25.0,0.0030002
30.0,0.0026624
35.0,0.0024044
40.0,0.0021969
45.0,0.0020266
50.0,0.0018854
55.0,0.0017674
60.0,0.0016679
65.0,0.0015831
70.0,0.0015101
75.0,0.0014465
80.0,0.0013904
85.0,0.0013406
90.0,0.0012958
95.0,0.0012552
100.0,0.0012181
150.0,0.0009665
200.0,0.0008329
250.0,0.00075836
300.0,0.00071506
350.0,0.00068851
400.0,0.00067145
450.0,0.00066033
500.0,0.00065335
550.0,0.00064934
600.0,0.0006473
650.0,0.00064616
700.0,0.00064491
750.0,0.00064269
800.0,0.00063904
850.0,0.00063407
900.0,0.00062862
950.0,0.00062435
1000.0,0.00062382
