energy_MeV,niel_MeV_cm2_g
0.04,4.1282e-05
0.045,4.2357e-05
0.05,4.2839e-05
0.055,4.296e-05
0.06,4.2858e-05
0.065,4.2619e-05
0.07,4.2294e-05
0.075,4.1919e-05
0.08,4.1516e-05
0.085,4.11e-05
0.09,4.0682e-05
0.095,4.0267e-05
0.1,3.986e-05
0.15,3.7515e-05
0.2,3.6556e-05
0.25,3.5913e-05
0.3,3.5562e-05
0.35,3.5426e-05
0.4,3.6057e-05
0.45,3.6874e-05
0.5,3.7752e-05
0.55,3.8665e-05
0.6,3.9596e-05
0.65,4.0533e-05
0.7,4.1468e-05
0.75,4.2396e-05
0.8,4.3314e-05
0.85,4.4218e-05
0.9,4.5108e-05
0.95,4.5981e-05
1.0,4.6838e-05
1.5,5.4489e-05
2.0,6.0725e-05
2.5,6.5918e-05
3.0,7.034e-05
3.5,7.4174e-05
4.0,7.7549e-05
4.5,8.0555e-05
5.0,8.3261e-05
5.5,8.5715e-05
6.0,8.7958e-05
6.5,9.002e-05
7.0,9.1926e-05
7.5,9.3695e-05
8.0,9.5344e-05
8.5,9.6886e-05
9.0,9.8333e-05
9.5,9.9695e-05
10.0,0.00010098
15.0,0.00011078
20.0,0.00011717
25.0,0.00012165
30.0,0.00012492
35.0,0.00012736
40.0,0.0001292
45.0,0.00013061
50.0,0.00013168
55.0,0.0001325
60.0,0.00013313
65.0,0.00013361
70.0,0.00013397
75.0,0.00013424
80.0,0.00013444
85.0,0.00013459
90.0,0.00013469
95.0,0.00013476
100.0,0.0001348
