energy_MeV,niel_MeV_cm2_g
0.0001,1.1161
0.00015,2.032
0.0002,2.5278
0.00025,2.8246
0.0003,3.0876
0.00035,3.3082
0.0004,3.4671
0.00045,3.5831
0.0005,3.6684
0.00055,3.7311
0.0006,3.7767
0.00065,3.8092
0.0007,3.8316
0.00075,3.8459
0.0008,3.8538
0.00085,3.8566
0.0009,3.8552
0.00095,3.8505
0.001,3.843
0.0015,3.6921
0.002,3.5032
0.0025,3.3215
0.003,3.1556
0.0035,3.006
0.004,2.8714
0.0045,2.7499
0.005,2.6397
0.0055,2.5394
0.006,2.4476
0.0065,2.3633
0.007,2.2856
0.0075,2.2136
0.008,2.1468
0.0085,2.0845
0.009,2.0263
0.0095,1.9718
0.01,1.9206
0.015,1.5382
0.02,1.2954
0.025,1.1255
0.03,0.99896
0.035,0.9005
0.04,0.82141
0.045,0.75627
0.05,0.70127
0.055,0.65447
0.06,0.61411
0.065,0.5789
0.07,0.54788
0.075,0.52031
0.08,0.49563
0.085,0.4734
0.09,0.45325
0.095,0.43489
0.1,0.4181
0.15,0.30417
0.2,0.24079
0.25,0.20073
0.3,0.17323
0.35,0.15294
0.4,0.1373
0.45,0.12483
0.5,0.11464
0.55,0.10614
0.6,0.09893
0.65,0.092734
0.7,0.08696
0.75,0.081744
0.8,0.077139
0.85,0.07304
0.9,0.069368
0.95,0.066059
1.0,0.063061
1.5,0.043575
2.0,0.033447
2.5,0.027213
3.0,0.022978
3.5,0.019915
4.0,0.017659
4.5,0.015925
5.0,0.01455
5.5,0.013415
6.0,0.012463
6.5,0.011664
7.0,0.010988
7.5,0.010413
8.0,0.0099166
8.5,0.0094839
9.0,0.0091023
9.5,0.0087624
10.0,0.008457
15.0,0.0065568
20.0,0.0057276
25.0,0.0053028
30.0,0.0050104
35.0,0.0047604
40.0,0.0045359
45.0,0.0043387
50.0,0.0041707
55.0,0.0040304
60.0,0.0039145
65.0,0.0038187
70.0,0.0037388
75.0,0.0036711
80.0,0.0036124
85.0,0.0035604
90.0,0.0035133
95.0,0.0034697
100.0,0.0034285
150.0,0.0030912
200.0,0.0028847
250.0,0.0027928
300.0,0.0027632
350.0,0.0027599
400.0,0.0027686
450.0,0.002787
500.0,0.0028163
550.0,0.0028552
600.0,0.0028995
650.0,0.0029416
700.0,0.0029731
750.0,0.0029872
800.0,0.0029815
850.0,0.0029605
900.0,0.0029368
950.0,0.0029317
1000.0,0.002977
