energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,6.4845e-07
0.25,2.0692e-06
0.3,5.3344e-06
0.35,8.0272e-06
0.4,1.035e-05
0.45,1.2417e-05
0.5,1.4294e-05
0.55,1.6024e-05
0.6,1.7637e-05
0.65,1.9151e-05
0.7,2.0582e-05
0.75,2.1941e-05
0.8,2.3235e-05
0.85,2.4473e-05
0.9,2.5659e-05
0.95,2.6799e-05
1.0,2.7896e-05
1.5,3.7101e-05
2.0,4.4157e-05
2.5,4.9877e-05
3.0,5.4675e-05
3.5,5.8799e-05
4.0,6.2406e-05
4.5,6.5606e-05
5.0,6.8477e-05
5.5,7.1075e-05
6.0,7.3446e-05
6.5,7.5622e-05
7.0,7.763e-05
7.5,7.9494e-05
8.0,8.1229e-05
8.5,8.2852e-05
9.0,8.4374e-05
9.5,8.5805e-05
10.0,8.7155e-05
15.0,9.7453e-05
20.0,0.00010418
25.0,0.00010891
30.0,0.00011238
35.0,0.00011498
40.0,0.00011695
45.0,0.00011846
50.0,0.00011962
55.0,0.00012052
60.0,0.00012121
65.0,0.00012174
70.0,0.00012215
75.0,0.00012246
80.0,0.0001227
85.0,0.00012288
90.0,0.00012301
95.0,0.0001231
100.0,0.00012317
