energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.38995
0.0002,1.1708
0.00025,1.788
0.0003,2.2191
0.00035,2.5331
0.0004,2.7682
0.00045,2.948
0.0005,3.0873
0.00055,3.1965
0.0006,3.2824
0.00065,3.3502
0.0007,3.4037
0.00075,3.4457
0.0008,3.4784
0.00085,3.5035
0.0009,3.5222
0.00095,3.5357
0.001,3.5449
0.0015,3.5023
0.002,3.368
0.0025,3.2179
0.003,3.072
0.0035,2.9359
0.004,2.8108
0.0045,2.6962
0.005,2.5912
0.0055,2.4949
0.006,2.4063
0.0065,2.3246
0.007,2.2489
0.0075,2.1787
0.008,2.1133
0.0085,2.0522
0.009,1.9951
0.0095,1.9415
0.01,1.8912
0.015,1.5134
0.02,1.2729
0.025,1.1045
0.03,0.9791
0.035,0.88162
0.04,0.80338
0.045,0.73903
0.05,0.68505
0.055,0.63875
0.06,0.59878
0.065,0.56394
0.07,0.53329
0.075,0.50608
0.08,0.48174
0.085,0.45983
0.09,0.44
0.095,0.42194
0.1,0.40543
0.15,0.29413
0.2,0.23227
0.25,0.19282
0.3,0.16553
0.35,0.14548
0.4,0.13007
0.45,0.11784
0.5,0.10786
0.55,0.099571
0.6,0.092555
0.65,0.086536
0.7,0.081084
0.75,0.076171
0.8,0.071839
0.85,0.067989
0.9,0.064543
0.95,0.061441
1.0,0.058633
1.5,0.04044
2.0,0.031019
2.5,0.025231
3.0,0.021303
3.5,0.018464
4.0,0.016401
4.5,0.01483
5.0,0.013571
5.5,0.012533
6.0,0.011669
6.5,0.010945
7.0,0.010334
7.5,0.0098148
8.0,0.0093667
8.5,0.0089753
9.0,0.0086294
9.5,0.0083207
10.0,0.0080433
15.0,0.0063245
20.0,0.0055753
25.0,0.0051786
30.0,0.0048989
35.0,0.0046616
40.0,0.0044513
45.0,0.0042678
50.0,0.004111
55.0,0.003979
60.0,0.0038683
65.0,0.0037751
70.0,0.0036957
75.0,0.0036271
80.0,0.0035666
85.0,0.0035123
90.0,0.0034626
95.0,0.0034165
100.0,0.003373
150.0,0.0030244
200.0,0.00281
250.0,0.0027053
300.0,0.0026653
350.0,0.0026573
400.0,0.0026649
450.0,0.0026817
500.0,0.0027058
550.0,0.0027353
600.0,0.0027674
650.0,0.002798
700.0,0.0028223
750.0,0.0028363
800.0,0.002838
850.0,0.0028289
900.0,0.0028145
950.0,0.0028052
1000.0,0.0028166
