energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,6.0001e-06
0.2,1.0819e-05
0.25,1.377e-05
0.3,1.6317e-05
0.35,1.8815e-05
0.4,2.0943e-05
0.45,2.2828e-05
0.5,2.4541e-05
0.55,2.6123e-05
0.6,2.7603e-05
0.65,2.8998e-05
0.7,3.0322e-05
0.75,3.1584e-05
0.8,3.2792e-05
0.85,3.3952e-05
0.9,3.5068e-05
0.95,3.6144e-05
1.0,3.7183e-05
1.5,4.6033e-05
2.0,5.2948e-05
2.5,5.8616e-05
3.0,6.3406e-05
3.5,6.7544e-05
4.0,7.1179e-05
4.5,7.4414e-05
5.0,7.7324e-05
5.5,7.9965e-05
6.0,8.2379e-05
6.5,8.4599e-05
7.0,8.6653e-05
7.5,8.8561e-05
8.0,9.0341e-05
8.5,9.2008e-05
9.0,9.3573e-05
9.5,9.5048e-05
10.0,9.6442e-05
15.0,0.00010715
20.0,0.00011424
25.0,0.00011929
30.0,0.00012304
35.0,0.00012589
40.0,0.00012808
45.0,0.00012978
50.0,0.00013111
55.0,0.00013214
60.0,0.00013295
65.0,0.00013359
70.0,0.00013409
75.0,0.00013448
80.0,0.00013478
85.0,0.00013501
90.0,0.00013519
95.0,0.00013532
100.0,0.00013542
