energy_MeV,niel_MeV_cm2_g
0.0001,0.33343
0.00015,0.71822
0.0002,0.96824
0.00025,1.4685
0.0003,1.8574
0.00035,2.1534
0.0004,2.385
0.00045,2.5697
0.0005,2.7192
0.00055,2.8415
0.0006,2.9424
0.00065,3.0262
0.0007,3.096
0.00075,3.1543
0.0008,3.203
0.00085,3.2436
0.0009,3.2775
0.00095,3.3055
0.001,3.3286
0.0015,3.3944
0.002,3.3266
0.0025,3.2185
0.003,3.1001
0.0035,2.9827
0.004,2.8704
0.0045,2.7648
0.005,2.6662
0.0055,2.5744
0.006,2.4889
0.0065,2.4093
0.007,2.3351
0.0075,2.2657
0.008,2.2008
0.0085,2.1399
0.009,2.0826
0.0095,2.0288
0.01,1.978
0.015,1.5927
0.02,1.3443
0.025,1.1692
0.03,1.0383
0.035,0.93623
0.04,0.85412
0.045,0.78646
0.05,0.72963
0.055,0.68114
0.06,0.63923
0.065,0.60259
0.07,0.57026
0.075,0.5415
0.08,0.51572
0.085,0.49248
0.09,0.47141
0.095,0.4522
0.1,0.43462
0.15,0.31527
0.2,0.24974
0.25,0.20823
0.3,0.17961
0.35,0.15846
0.4,0.14184
0.45,0.12862
0.5,0.11784
0.55,0.10886
0.6,0.10125
0.65,0.094726
0.7,0.088789
0.75,0.083428
0.8,0.078698
0.85,0.074493
0.9,0.070729
0.95,0.067339
1.0,0.064269
1.5,0.04436
2.0,0.034034
2.5,0.027684
3.0,0.023379
3.5,0.020323
4.0,0.018064
4.5,0.016343
5.0,0.014993
5.5,0.013884
6.0,0.012954
6.5,0.012168
7.0,0.011501
7.5,0.01093
8.0,0.010437
8.5,0.010009
9.0,0.0096329
9.5,0.0093006
10.0,0.0090047
15.0,0.007194
20.0,0.0063369
25.0,0.0058234
30.0,0.0054545
35.0,0.0051619
40.0,0.0049209
45.0,0.0047202
50.0,0.0045522
55.0,0.0044104
60.0,0.0042893
65.0,0.0041842
70.0,0.0040916
75.0,0.0040084
80.0,0.0039326
85.0,0.0038626
90.0,0.0037972
95.0,0.0037355
100.0,0.003677
150.0,0.0032227
200.0,0.0029626
250.0,0.0028344
300.0,0.0027772
350.0,0.0027535
400.0,0.0027461
450.0,0.002749
500.0,0.0027603
550.0,0.0027785
600.0,0.0028007
650.0,0.0028228
700.0,0.0028402
750.0,0.0028489
800.0,0.002847
850.0,0.0028356
900.0,0.00282
950.0,0.0028097
1000.0,0.0028194
