# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	0.000000e+00
2.500000e-01	0.000000e+00
3.000000e-01	1.013700e-07
3.500000e-01	3.325400e-07
4.000000e-01	5.339700e-07
4.500000e-01	7.151400e-07
5.000000e-01	8.814900e-07
5.500000e-01	1.036400e-06
6.000000e-01	1.182000e-06
6.500000e-01	1.320000e-06
7.000000e-01	1.451300e-06
7.500000e-01	1.576800e-06
8.000000e-01	1.697200e-06
8.500000e-01	1.813000e-06
9.000000e-01	1.924600e-06
9.500000e-01	2.032300e-06
1.000000e+00	2.136400e-06
1.500000e+00	3.725100e-06
2.000000e+00	6.474700e-06
2.500000e+00	9.109800e-06
3.000000e+00	1.160600e-05
3.500000e+00	1.538100e-05
4.000000e+00	1.956300e-05
4.500000e+00	2.357700e-05
5.000000e+00	2.726000e-05
5.500000e+00	3.058700e-05
6.000000e+00	3.358200e-05
6.500000e+00	3.627900e-05
7.000000e+00	3.871700e-05
7.500000e+00	4.093000e-05
8.000000e+00	4.294600e-05
8.500000e+00	4.479200e-05
9.000000e+00	4.648800e-05
9.500000e+00	4.805100e-05
1.000000e+01	4.949900e-05
1.500000e+01	5.965400e-05
2.000000e+01	6.537100e-05
2.500000e+01	6.882400e-05
3.000000e+01	7.092400e-05
3.500000e+01	7.215600e-05
4.000000e+01	7.281300e-05
4.500000e+01	7.308700e-05
5.000000e+01	7.310800e-05
5.500000e+01	7.296400e-05
6.000000e+01	7.271700e-05
6.500000e+01	7.240800e-05
7.000000e+01	7.206700e-05
7.500000e+01	7.171200e-05
8.000000e+01	7.135600e-05
8.500000e+01	7.100700e-05
9.000000e+01	7.067100e-05
9.500000e+01	7.035000e-05
1.000000e+02	7.004500e-05
