# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	0.000000e+00
2.000000e-04	0.000000e+00
2.500000e-04	8.377900e-02
3.000000e-04	1.560200e-01
3.500000e-04	2.102800e-01
4.000000e-04	2.521800e-01
4.500000e-04	2.852100e-01
5.000000e-04	3.116400e-01
5.500000e-04	3.330200e-01
6.000000e-04	3.504600e-01
6.500000e-04	3.647700e-01
7.000000e-04	3.765500e-01
7.500000e-04	3.862800e-01
8.000000e-04	3.943100e-01
8.500000e-04	4.009200e-01
9.000000e-04	4.063400e-01
9.500000e-04	4.107700e-01
1.000000e-03	4.143400e-01
1.500000e-03	4.285900e-01
2.000000e-03	4.861400e-01
2.500000e-03	5.122600e-01
3.000000e-03	5.229700e-01
3.500000e-03	5.253800e-01
4.000000e-03	5.230900e-01
4.500000e-03	5.180300e-01
5.000000e-03	5.113500e-01
5.500000e-03	5.037200e-01
6.000000e-03	4.986400e-01
6.500000e-03	5.047100e-01
7.000000e-03	5.085900e-01
7.500000e-03	5.107700e-01
8.000000e-03	5.116300e-01
8.500000e-03	5.114500e-01
9.000000e-03	5.104600e-01
9.500000e-03	5.088100e-01
1.000000e-02	5.066600e-01
1.500000e-02	4.724800e-01
2.000000e-02	4.347900e-01
2.500000e-02	4.011000e-01
3.000000e-02	3.720300e-01
3.500000e-02	3.470200e-01
4.000000e-02	3.253800e-01
4.500000e-02	3.065100e-01
5.000000e-02	2.899000e-01
5.500000e-02	2.751900e-01
6.000000e-02	2.620400e-01
6.500000e-02	2.502300e-01
7.000000e-02	2.395600e-01
7.500000e-02	2.298500e-01
8.000000e-02	2.209900e-01
8.500000e-02	2.128500e-01
9.000000e-02	2.053700e-01
9.500000e-02	1.984400e-01
1.000000e-01	1.920200e-01
1.500000e-01	1.462900e-01
2.000000e-01	1.193800e-01
2.500000e-01	1.014700e-01
3.000000e-01	8.859700e-02
3.500000e-01	7.883500e-02
4.000000e-01	7.102600e-02
4.500000e-01	6.472800e-02
5.000000e-01	5.954100e-02
5.500000e-01	5.518900e-02
6.000000e-01	5.147800e-02
6.500000e-01	4.826900e-02
7.000000e-01	4.543100e-02
7.500000e-01	4.293800e-02
8.000000e-01	4.073000e-02
8.500000e-01	3.875900e-02
9.000000e-01	3.698800e-02
9.500000e-01	3.538700e-02
1.000000e+00	3.393200e-02
1.500000e+00	2.415400e-02
2.000000e+00	1.892100e-02
2.500000e+00	1.557800e-02
3.000000e+00	1.328200e-02
3.500000e+00	1.162000e-02
4.000000e+00	1.036300e-02
4.500000e+00	9.370000e-03
5.000000e+00	8.563800e-03
5.500000e+00	7.896100e-03
6.000000e+00	7.336400e-03
6.500000e+00	6.866300e-03
7.000000e+00	6.466700e-03
7.500000e+00	6.118800e-03
8.000000e+00	5.810700e-03
8.500000e+00	5.535500e-03
9.000000e+00	5.288800e-03
9.500000e+00	5.067000e-03
1.000000e+01	4.867000e-03
1.500000e+01	3.624800e-03
2.000000e+01	3.036300e-03
2.500000e+01	2.684700e-03
3.000000e+01	2.446200e-03
3.500000e+01	2.274700e-03
4.000000e+01	2.147500e-03
4.500000e+01	2.050700e-03
5.000000e+01	1.975700e-03
5.500000e+01	1.916300e-03
6.000000e+01	1.868500e-03
6.500000e+01	1.829400e-03
7.000000e+01	1.796900e-03
7.500000e+01	1.769500e-03
8.000000e+01	1.746100e-03
8.500000e+01	1.725800e-03
9.000000e+01	1.708000e-03
9.500000e+01	1.692200e-03
1.000000e+02	1.678100e-03
1.500000e+02	1.584200e-03
2.000000e+02	1.536500e-03
2.500000e+02	1.526800e-03
3.000000e+02	1.549500e-03
3.500000e+02	1.594100e-03
4.000000e+02	1.649600e-03
4.500000e+02	1.707100e-03
5.000000e+02	1.761000e-03
5.500000e+02	1.809300e-03
6.000000e+02	1.852300e-03
6.500000e+02	1.892100e-03
7.000000e+02	1.931000e-03
7.500000e+02	1.970300e-03
8.000000e+02	2.010100e-03
8.500000e+02	2.047700e-03
9.000000e+02	2.078100e-03
9.500000e+02	2.092900e-03
1.000000e+03	2.081300e-03
