# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	0.000000e+00
2.500000e-01	0.000000e+00
3.000000e-01	2.127500e-07
3.500000e-01	4.654800e-07
4.000000e-01	6.795700e-07
4.500000e-01	8.688500e-07
5.000000e-01	1.040900e-06
5.500000e-01	1.200200e-06
6.000000e-01	1.349500e-06
6.500000e-01	1.490700e-06
7.000000e-01	1.625200e-06
7.500000e-01	1.753800e-06
8.000000e-01	1.877200e-06
8.500000e-01	1.996100e-06
9.000000e-01	2.110700e-06
9.500000e-01	2.221500e-06
1.000000e+00	2.328800e-06
1.500000e+00	3.747700e-06
2.000000e+00	8.579800e-06
2.500000e+00	1.405800e-05
3.000000e+00	1.911100e-05
3.500000e+00	2.358600e-05
4.000000e+00	2.752800e-05
4.500000e+00	3.101500e-05
5.000000e+00	3.412100e-05
5.500000e+00	3.690900e-05
6.000000e+00	3.942900e-05
6.500000e+00	4.172100e-05
7.000000e+00	4.381900e-05
7.500000e+00	4.574800e-05
8.000000e+00	4.753100e-05
8.500000e+00	4.918500e-05
9.000000e+00	5.072500e-05
9.500000e+00	5.216400e-05
1.000000e+01	5.351100e-05
1.500000e+01	6.348700e-05
2.000000e+01	6.965800e-05
2.500000e+01	7.376100e-05
3.000000e+01	7.657600e-05
3.500000e+01	7.852500e-05
4.000000e+01	7.987000e-05
4.500000e+01	8.078500e-05
5.000000e+01	8.138900e-05
5.500000e+01	8.176800e-05
6.000000e+01	8.198400e-05
6.500000e+01	8.208300e-05
7.000000e+01	8.209900e-05
7.500000e+01	8.205400e-05
8.000000e+01	8.196900e-05
8.500000e+01	8.185500e-05
9.000000e+01	8.172200e-05
9.500000e+01	8.157800e-05
1.000000e+02	8.142700e-05
