# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	5.435400e-06
4.500000e-02	5.491600e-06
5.000000e-02	5.489900e-06
5.500000e-02	5.454900e-06
6.000000e-02	5.401000e-06
6.500000e-02	5.336600e-06
7.000000e-02	5.267000e-06
7.500000e-02	5.195400e-06
8.000000e-02	5.123700e-06
8.500000e-02	5.053300e-06
9.000000e-02	4.984900e-06
9.500000e-02	4.919000e-06
1.000000e-01	4.855800e-06
1.500000e-01	4.367800e-06
2.000000e-01	4.436100e-06
2.500000e-01	4.716100e-06
3.000000e-01	4.933600e-06
3.500000e-01	5.124500e-06
4.000000e-01	5.302400e-06
4.500000e-01	5.472600e-06
5.000000e-01	5.637700e-06
5.500000e-01	5.798500e-06
6.000000e-01	5.955800e-06
6.500000e-01	6.109500e-06
7.000000e-01	6.260000e-06
7.500000e-01	6.407200e-06
8.000000e-01	6.551100e-06
8.500000e-01	6.691900e-06
9.000000e-01	7.051500e-06
9.500000e-01	7.848600e-06
1.000000e+00	8.850100e-06
1.500000e+00	2.134200e-05
2.000000e+00	3.164100e-05
2.500000e+00	3.932600e-05
3.000000e+00	4.524800e-05
3.500000e+00	4.998500e-05
4.000000e+00	5.389500e-05
4.500000e+00	5.720300e-05
5.000000e+00	6.005700e-05
5.500000e+00	6.255700e-05
6.000000e+00	6.477500e-05
6.500000e+00	6.676200e-05
7.000000e+00	6.855700e-05
7.500000e+00	7.019100e-05
8.000000e+00	7.168600e-05
8.500000e+00	7.306000e-05
9.000000e+00	7.432900e-05
9.500000e+00	7.550500e-05
1.000000e+01	7.659800e-05
1.500000e+01	8.435700e-05
2.000000e+01	8.865500e-05
2.500000e+01	9.106000e-05
3.000000e+01	9.230200e-05
3.500000e+01	9.280000e-05
4.000000e+01	9.282400e-05
4.500000e+01	9.255000e-05
5.000000e+01	9.209900e-05
5.500000e+01	9.155100e-05
6.000000e+01	9.095900e-05
6.500000e+01	9.035800e-05
7.000000e+01	8.977000e-05
7.500000e+01	8.920600e-05
8.000000e+01	8.867400e-05
8.500000e+01	8.817700e-05
9.000000e+01	8.771600e-05
9.500000e+01	8.729000e-05
1.000000e+02	8.689700e-05
