# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	1.947800e-06
2.000000e-01	2.840700e-06
2.500000e-01	3.370400e-06
3.000000e-01	3.746400e-06
3.500000e-01	4.045300e-06
4.000000e-01	4.300500e-06
4.500000e-01	4.528300e-06
5.000000e-01	4.737200e-06
5.500000e-01	4.932400e-06
6.000000e-01	5.116800e-06
6.500000e-01	5.292500e-06
7.000000e-01	5.460800e-06
7.500000e-01	6.472200e-06
8.000000e-01	7.801700e-06
8.500000e-01	9.313100e-06
9.000000e-01	1.092200e-05
9.500000e-01	1.257200e-05
1.000000e+00	1.422800e-05
1.500000e+00	2.852000e-05
2.000000e+00	3.842100e-05
2.500000e+00	4.555800e-05
3.000000e+00	5.101900e-05
3.500000e+00	5.539400e-05
4.000000e+00	5.902000e-05
4.500000e+00	6.210200e-05
5.000000e+00	6.477500e-05
5.500000e+00	6.712700e-05
6.000000e+00	6.922200e-05
6.500000e+00	7.110600e-05
7.000000e+00	7.281300e-05
7.500000e+00	7.437100e-05
8.000000e+00	7.580000e-05
8.500000e+00	7.711600e-05
9.000000e+00	7.833400e-05
9.500000e+00	7.946400e-05
1.000000e+01	8.051600e-05
1.500000e+01	8.799800e-05
2.000000e+01	9.212600e-05
2.500000e+01	9.439500e-05
3.000000e+01	9.551900e-05
3.500000e+01	9.591300e-05
4.000000e+01	9.584400e-05
4.500000e+01	9.549000e-05
5.000000e+01	9.496900e-05
5.500000e+01	9.436300e-05
6.000000e+01	9.372200e-05
6.500000e+01	9.308000e-05
7.000000e+01	9.245700e-05
7.500000e+01	9.186600e-05
8.000000e+01	9.131200e-05
8.500000e+01	9.079700e-05
9.000000e+01	9.032100e-05
9.500000e+01	8.988300e-05
1.000000e+02	8.948100e-05
