# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.615100e-01
1.500000e-04	4.671800e-01
2.000000e-04	5.904400e-01
2.500000e-04	6.718500e-01
3.000000e-04	7.285700e-01
3.500000e-04	7.693600e-01
4.000000e-04	7.992300e-01
4.500000e-04	8.212900e-01
5.000000e-04	8.375800e-01
5.500000e-04	8.495100e-01
6.000000e-04	8.580700e-01
6.500000e-04	8.639900e-01
7.000000e-04	8.914600e-01
7.500000e-04	9.147300e-01
8.000000e-04	9.348400e-01
8.500000e-04	9.523000e-01
9.000000e-04	9.674800e-01
9.500000e-04	9.807200e-01
1.000000e-03	9.922800e-01
1.500000e-03	1.050700e+00
2.000000e-03	1.059600e+00
2.500000e-03	1.050300e+00
3.000000e-03	1.033700e+00
3.500000e-03	1.014000e+00
4.000000e-03	9.933800e-01
4.500000e-03	9.726600e-01
5.000000e-03	9.523400e-01
5.500000e-03	9.326700e-01
6.000000e-03	9.137500e-01
6.500000e-03	8.956000e-01
7.000000e-03	8.782300e-01
7.500000e-03	8.616200e-01
8.000000e-03	8.457300e-01
8.500000e-03	8.305200e-01
9.000000e-03	8.159600e-01
9.500000e-03	8.020100e-01
1.000000e-02	7.886400e-01
1.500000e-02	6.797500e-01
2.000000e-02	6.017000e-01
2.500000e-02	5.423700e-01
3.000000e-02	4.953900e-01
3.500000e-02	4.570500e-01
4.000000e-02	4.250300e-01
4.500000e-02	3.978100e-01
5.000000e-02	3.743300e-01
5.500000e-02	3.538300e-01
6.000000e-02	3.357400e-01
6.500000e-02	3.196400e-01
7.000000e-02	3.052100e-01
7.500000e-02	2.921800e-01
8.000000e-02	2.803500e-01
8.500000e-02	2.695500e-01
9.000000e-02	2.596500e-01
9.500000e-02	2.505400e-01
1.000000e-01	2.421100e-01
1.500000e-01	1.830400e-01
2.000000e-01	1.488400e-01
2.500000e-01	1.262400e-01
3.000000e-01	1.100700e-01
3.500000e-01	9.782300e-02
4.000000e-01	8.800400e-02
4.500000e-01	8.009300e-02
5.000000e-01	7.357000e-02
5.500000e-01	6.809100e-02
6.000000e-01	6.342000e-02
6.500000e-01	5.938500e-02
7.000000e-01	5.586500e-02
7.500000e-01	5.278000e-02
8.000000e-01	5.004800e-02
8.500000e-01	4.761000e-02
9.000000e-01	4.542000e-02
9.500000e-01	4.344100e-02
1.000000e+00	4.164300e-02
1.500000e+00	2.981200e-02
2.000000e+00	2.351600e-02
2.500000e+00	1.930500e-02
3.000000e+00	1.639200e-02
3.500000e+00	1.429500e-02
4.000000e+00	1.271800e-02
4.500000e+00	1.147800e-02
5.000000e+00	1.047400e-02
5.500000e+00	9.644600e-03
6.000000e+00	8.948000e-03
6.500000e+00	8.354900e-03
7.000000e+00	7.843600e-03
7.500000e+00	7.398200e-03
8.000000e+00	7.006500e-03
8.500000e+00	6.659200e-03
9.000000e+00	6.349200e-03
9.500000e+00	6.070600e-03
1.000000e+01	5.818900e-03
1.500000e+01	4.197600e-03
2.000000e+01	3.357200e-03
2.500000e+01	2.832400e-03
3.000000e+01	2.469900e-03
3.500000e+01	2.203700e-03
4.000000e+01	1.999900e-03
4.500000e+01	1.838600e-03
5.000000e+01	1.707500e-03
5.500000e+01	1.598200e-03
6.000000e+01	1.505300e-03
6.500000e+01	1.425000e-03
7.000000e+01	1.354500e-03
7.500000e+01	1.291900e-03
8.000000e+01	1.235700e-03
8.500000e+01	1.185000e-03
9.000000e+01	1.138800e-03
9.500000e+01	1.096600e-03
1.000000e+02	1.057900e-03
1.500000e+02	7.988400e-04
2.000000e+02	6.676700e-04
2.500000e+02	5.932400e-04
3.000000e+02	5.461100e-04
3.500000e+02	5.132600e-04
4.000000e+02	4.887900e-04
4.500000e+02	4.698800e-04
5.000000e+02	4.550700e-04
5.500000e+02	4.434100e-04
6.000000e+02	4.341500e-04
6.500000e+02	4.266000e-04
7.000000e+02	4.201500e-04
7.500000e+02	4.143400e-04
8.000000e+02	4.088300e-04
8.500000e+02	4.035600e-04
9.000000e+02	3.986900e-04
9.500000e+02	3.946800e-04
1.000000e+03	3.923100e-04
