# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	0.000000e+00
2.500000e-01	0.000000e+00
3.000000e-01	0.000000e+00
3.500000e-01	0.000000e+00
4.000000e-01	0.000000e+00
4.500000e-01	0.000000e+00
5.000000e-01	0.000000e+00
5.500000e-01	0.000000e+00
6.000000e-01	0.000000e+00
6.500000e-01	0.000000e+00
7.000000e-01	0.000000e+00
7.500000e-01	1.092100e-07
8.000000e-01	4.545000e-07
8.500000e-01	8.836600e-07
9.000000e-01	1.372400e-06
9.500000e-01	1.902800e-06
1.000000e+00	2.461400e-06
1.500000e+00	8.727100e-06
2.000000e+00	1.563500e-05
2.500000e+00	2.173700e-05
3.000000e+00	2.693100e-05
3.500000e+00	3.137100e-05
4.000000e+00	3.521200e-05
4.500000e+00	3.857700e-05
5.000000e+00	4.155900e-05
5.500000e+00	4.422800e-05
6.000000e+00	4.663700e-05
6.500000e+00	4.882800e-05
7.000000e+00	5.083300e-05
7.500000e+00	5.267800e-05
8.000000e+00	5.438400e-05
8.500000e+00	5.596800e-05
9.000000e+00	5.744400e-05
9.500000e+00	5.882500e-05
1.000000e+01	6.012000e-05
1.500000e+01	6.975100e-05
2.000000e+01	7.575400e-05
2.500000e+01	7.976100e-05
3.000000e+01	8.250900e-05
3.500000e+01	8.440400e-05
4.000000e+01	8.569900e-05
4.500000e+01	8.656400e-05
5.000000e+01	8.711900e-05
5.500000e+01	8.745000e-05
6.000000e+01	8.761900e-05
6.500000e+01	8.767200e-05
7.000000e+01	8.764200e-05
7.500000e+01	8.755500e-05
8.000000e+01	8.742800e-05
8.500000e+01	8.727500e-05
9.000000e+01	8.710600e-05
9.500000e+01	8.692700e-05
1.000000e+02	8.674300e-05
